bioguide_id,full_name,birthyear,image,office_address,phone,website,fec_id,bioname,chamber,left_right_ideology,party_code,state_abbrev,district_code,icpsr,party
B001230,Tammy Baldwin,1962.0,https://www.congress.gov/img/member/b001230_200.jpg,"141 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-5653,https://www.baldwin.senate.gov/,S2WI00219,"BALDWIN, Tammy",Senate,-0.487,100,WI,0,29940,Democrat
B001236,John Boozman,1950.0,https://www.congress.gov/img/member/b001236_200.jpg,"555 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-4843,https://www.boozman.senate.gov/,S8AR00088,"BOOZMAN, John",Senate,0.427,200,AR,0,20101,Republican
B001243,Marsha Blackburn,1952.0,https://www.congress.gov/img/member/b001243_200.jpg,"357 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-3344,https://www.blackburn.senate.gov,S8TN00337,"BLACKBURN, Marsha",Senate,0.632,200,TN,0,20351,Republican
B001257,Gus M. Bilirakis,1963.0,https://www.congress.gov/img/member/117_rp_fl_12_bilirakis_gus_200.jpg,"2306 Rayburn House Office Building, Washington, DC 20515",(202) 225-5755,https://bilirakis.house.gov/,H6FL09070,"BILIRAKIS, Gus",House,0.423,200,FL,12,20758,Republican
B001260,Vern Buchanan,1951.0,https://www.congress.gov/img/member/b001260_200.jpg,"2409 Rayburn House Office Building, Washington, DC 20515",(202) 225-5015,https://buchanan.house.gov/,H6FL13148,"BUCHANAN, Vernon G.",House,0.361,200,FL,16,20709,Republican
B001261,John Barrasso,1952.0,https://www.congress.gov/img/member/b001261_200.jpg,"307 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-6441,https://www.barrasso.senate.gov,S6WY00068,"BARRASSO, John A.",Senate,0.54,200,WY,0,40707,Republican
B001267,Michael F. Bennet,1964.0,https://www.congress.gov/img/member/b001267_200.jpg,"261 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-5852,https://www.bennet.senate.gov,S0CO00211,"BENNET, Michael F.",Senate,-0.237,100,CO,0,40910,Democrat
B001277,Richard Blumenthal,1946.0,https://www.congress.gov/img/member/b001277_200.jpg,"503 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-2823,https://www.blumenthal.senate.gov,S0CT00177,"BLUMENTHAL, Richard",Senate,-0.433,100,CT,0,41101,Democrat
B001278,Suzanne Bonamici,1954.0,https://www.congress.gov/img/member/b001278_200.jpg,"2231 Rayburn House Office Building, Washington, DC 20515",(202) 225-0855,https://bonamici.house.gov,H2OR01133,"BONAMICI, Suzanne",House,-0.399,100,OR,1,21198,Democrat
B001281,Joyce Beatty,1950.0,https://www.congress.gov/img/member/b001281_200.jpg,"2079 Rayburn House Office Building, Washington, DC 20515",(202) 225-4324,https://beatty.house.gov,H2OH03125,"BEATTY, Joyce",House,-0.437,100,OH,3,21352,Democrat
B001282,Andy Barr,1973.0,https://www.congress.gov/img/member/b001282_200.jpg,"2430 Rayburn House Office Building, Washington, DC 20515",(202) 225-4706,https://barr.house.gov/,H0KY06104,"BARR, Garland H. (Andy) IV",House,0.488,200,KY,6,21333,Republican
B001285,Julia Brownley,1952.0,https://www.congress.gov/img/member/68000188f22eaf56065817e8_200.jpg,"2262 Rayburn House Office Building, Washington, DC 20515",(202) 225-5811,https://juliabrownley.house.gov,H2CA00120,"BROWNLEY, Julia",House,-0.303,100,CA,26,21308,Democrat
B001287,Ami Bera,1965.0,https://www.congress.gov/img/member/b001287_200.jpg,"172 Cannon House Office Building, Washington, DC 20515",(202) 225-5716,https://bera.house.gov,H0CA03078,"BERA, Ami",House,-0.246,100,CA,6,21304,Democrat
B001288,Cory A. Booker,1969.0,https://www.congress.gov/img/member/b001288_200.jpg,"306 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-3224,https://www.booker.senate.gov,S4NJ00185,"BOOKER, Cory Anthony",Senate,-0.555,100,NJ,0,41308,Democrat
B001291,Brian Babin,1948.0,https://www.congress.gov/img/member/b001291_200.jpg,"2236 Rayburn House Office Building, Washington, DC 20515",(202) 225-1555,https://babin.house.gov,H6TX02079,"BABIN, Brian",House,0.708,200,TX,36,21551,Republican
B001292,"Donald S. Beyer, Jr.",1950.0,https://www.congress.gov/img/member/b001292_200.jpg,"1226 Longworth House Office Building, Washington, DC 20515",(202) 225-4376,https://beyer.house.gov,H4VA08224,"BEYER, Donald Sternoff Jr.",House,-0.395,100,VA,8,21554,Democrat
B001295,Mike Bost,1960.0,https://www.congress.gov/img/member/b001295_200.jpg,"352 Cannon House Office Building, Washington, DC 20515",(202) 225-5661,https://bost.house.gov/,H4IL12060,"BOST, Mike",House,0.402,200,IL,12,21519,Republican
B001296,Brendan F. Boyle,1977.0,https://www.congress.gov/img/member/115_rp_pa_13_boyle_brendan_200.jpg,"1502 Longworth House Office Building, Washington, DC 20515",(202) 225-6111,https://boyle.house.gov/,H4PA13199,"BOYLE, Brendan Francis",House,-0.381,100,PA,2,21548,Democrat
B001298,Don Bacon,1963.0,https://www.congress.gov/img/member/115_rp_ne_2_bacon_don_200.jpg,"2104 Rayburn House Office Building, Washington, DC 20515",(202) 225-4155,https://bacon.house.gov,H6NE02125,"BACON, Donald J.",House,0.283,200,NE,2,21701,Republican
B001299,Jim Banks,1979.0,https://www.congress.gov/img/member/677d83cbfdb6cf36bbb64998_200.jpg,"303 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-4814,https://www.banks.senate.gov/,S4IN00196,"BANKS, James E.",Senate,0.647,200,IN,0,21702,Republican
B001300,Nanette Diaz Barragán,1976.0,https://www.congress.gov/img/member/b001300_200.jpg,"2312 Rayburn House Office Building, Washington, DC 20515",(202) 225-8220,https://barragan.house.gov,H6CA44103,"BARRAGÁN, Nanette Diaz",House,-0.502,100,CA,44,21703,Democrat
B001301,Jack Bergman,1947.0,https://www.congress.gov/img/member/b001301_200.jpg,"566 Cannon House Office Building, Washington, DC 20515",(202) 225-4735,https://bergman.house.gov,H6MI01226,"BERGMAN, John",House,0.432,200,MI,1,21704,Republican
B001302,Andy Biggs,1958.0,https://www.congress.gov/img/member/b001302_200.jpg,"464 Cannon House Office Building, Washington, DC 20515",(202) 225-2635,https://biggs.house.gov,H6AZ05083,"BIGGS, Andrew S.",House,0.818,200,AZ,5,21705,Republican
B001303,Lisa Blunt Rochester,1962.0,https://www.congress.gov/img/member/b001303_200.jpg,"513 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-2441,https://www.bluntrochester.senate.gov/,S4DE00060,"BLUNT ROCHESTER, Lisa",Senate,-0.38,100,DE,0,21706,Democrat
B001305,Ted Budd,1971.0,https://www.congress.gov/img/member/b001305_200.jpg,"354 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-3154,https://www.budd.senate.gov/,S2NC00505,"BUDD, Theodore Paul",Senate,0.633,200,NC,0,21708,Republican
B001306,Troy Balderson,1962.0,https://www.congress.gov/img/member/116_rp_oh_12_balderson_troy_200.jpg,"2429 Rayburn House Office Building, Washington, DC 20515",(202) 225-5355,https://balderson.house.gov,H8OH12180,"BALDERSON, Troy",House,0.461,200,OH,12,21759,Republican
B001307,James R. Baird,1945.0,https://www.congress.gov/img/member/b001307_200.jpg,"2303 Rayburn House Office Building, Washington, DC 20515",(202) 225-5037,https://baird.house.gov/,H8IN04199,"BAIRD, James",House,0.445,200,IN,4,21903,Republican
B001309,Tim Burchett,1964.0,https://www.congress.gov/img/member/b001309_200.jpg,"1122 Longworth House Office Building, Washington, DC 20515",(202) 225-5435,https://burchett.house.gov,H8TN02119,"BURCHETT, Timothy",House,0.665,200,TN,2,21905,Republican
B001313,Shontel M. Brown,1975.0,https://www.congress.gov/img/member/b001313_200.jpg,"2455 Rayburn House Office Building, Washington, DC 20515",(202) 225-7032,https://shontelbrown.house.gov,H2OH06052,"BROWN, Shontel  M.",House,-0.459,100,OH,11,22161,Democrat
B001314,Aaron Bean,1967.0,https://www.congress.gov/img/member/b001314_200.jpg,"2459 Rayburn House Office Building, Washington, DC 20515",(202) 225-0123,https://bean.house.gov,H2FL04211,"BEAN, Aaron",House,0.679,200,FL,4,22302,Republican
B001315,Nikki Budzinski,1977.0,https://www.congress.gov/img/member/b001315_200.jpg,"1717 Longworth House Office Building, Washington, DC 20515",(202) 225-2371,https://budzinski.house.gov,H2IL13153,"BUDZINSKI, Nikki",House,-0.332,100,IL,13,22304,Democrat
B001316,Eric Burlison,1976.0,https://www.congress.gov/img/member/b001316_200.jpg,"1108 Longworth House Office Building, Washington, DC 20515",(202) 225-6536,https://burlison.house.gov,H4MO07073,"BURLISON, Eric",House,0.737,200,MO,7,22305,Republican
B001317,Josh Brecheen,1979.0,https://www.congress.gov/img/member/b001317_200.jpg,"351 Cannon House Office Building, Washington, DC 20515",(202) 225-2701,https://brecheen.house.gov,H2OK02315,"BRECHEEN, Josh",House,0.858,200,OK,2,22303,Republican
B001318,Becca Balint,1968.0,https://www.congress.gov/img/member/b001318_200.jpg,"1510 Longworth House Office Building, Washington, DC 20515",(202) 225-4115,https://balint.house.gov,H2VT01076,"BALINT, Becca",House,-0.453,100,VT,1,22301,Democrat
B001319,Katie Boyd Britt,1982.0,https://www.congress.gov/img/member/b001319_200.jpg,"416 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-5744,https://www.britt.senate.gov/,S2AL00145,"BRITT, Katie Elizabeth",Senate,0.586,200,AL,0,42300,Republican
B001321,Tom Barrett,1981.0,https://www.congress.gov/img/member/6774207d0b34857ecc909034_200.jpg,"1232 Longworth House Office Building, Washington, DC 20515",(202) 225-4872,https://barrett.house.gov/,H2MI07123,"BARRETT, Tom",House,0.509,200,MI,7,22501,Republican
B001322,Michael Baumgartner,1975.0,https://www.congress.gov/img/member/6774212e0b34857ecc90903a_200.jpg,"124 Cannon House Office Building, Washington, DC 20515",(202) 225-2006,https://baumgartner.house.gov/,H4WA05234,"BAUMGARTNER, Michael",House,0.489,200,WA,5,22502,Republican
B001323,Nicholas J. Begich III,1977.0,https://www.congress.gov/img/member/6774217e0b34857ecc909040_200.jpg,"153 Cannon House Office Building, Washington, DC 20515",(202) 225-5765,https://begich.house.gov/,H4AK00024,"BEGICH, Nicholas J., III",House,0.634,200,AK,1,22503,Republican
B001324,Wesley Bell,1974.0,https://www.congress.gov/img/member/677422240b34857ecc90904a_200.jpg,"1429 Longworth House Office Building, Washington, DC 20515",(202) 225-2406,https://bell.house.gov/,H2MO04033,"BELL, Wesley",House,-0.567,100,MO,1,22504,Democrat
B001325,Sheri Biggs,1970.0,https://www.congress.gov/img/member/677422990b34857ecc909052_200.jpg,"1530 Longworth House Office Building, Washington, DC 20515",(202) 225-5301,https://sheribiggs.house.gov/,H4SC01313,"BIGGS, Sheri",House,0.788,200,SC,3,22505,Republican
B001326,Janelle S. Bynum,1975.0,https://www.congress.gov/img/member/677423150b34857ecc909059_200.jpg,"1508 Longworth House Office Building, Washington, DC 20515",(202) 225-5711,https://bynum.house.gov/,H4OR05304,"BYNUM, Janelle S.",House,-0.28,100,OR,5,22507,Democrat
B001327,"Robert P. Bresnahan, Jr.",1990.0,https://www.congress.gov/img/member/6774236f0b34857ecc90905f_200.jpg,"1133 Longworth House Office Building, Washington, DC 20515",(202) 225-5546,https://bresnahan.house.gov/,H4PA08124,"BRESNAHAN, Robert P., Jr.",House,0.266,200,PA,8,22506,Republican
C000059,Ken Calvert,1953.0,https://www.congress.gov/img/member/c000059_200.jpg,"2205 Rayburn House Office Building, Washington, DC 20515",(202) 225-1986,https://calvert.house.gov/,H2CA37023,"CALVERT, Ken",House,0.339,200,CA,41,29323,Republican
C000127,Maria Cantwell,1958.0,https://www.congress.gov/img/member/c000127_200.jpg,"511 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-3441,https://www.cantwell.senate.gov,S8WA00194,"CANTWELL, Maria E.",Senate,-0.307,100,WA,0,39310,Democrat
C000537,James E. Clyburn,1940.0,https://www.congress.gov/img/member/c000537_200.jpg,"274 Cannon House Office Building, Washington, DC 20515",(202) 225-3315,https://clyburn.house.gov/,H2SC02042,"CLYBURN, James Enos",House,-0.467,100,SC,6,39301,Democrat
C000880,Mike Crapo,1951.0,https://www.congress.gov/img/member/c000880_200.jpg,"239 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-6142,https://www.crapo.senate.gov,S8ID00027,"CRAPO, Michael Dean",Senate,0.505,200,ID,0,29345,Republican
C001035,Susan M. Collins,1952.0,https://www.congress.gov/img/member/c001035_200.jpg,"413 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-2523,https://www.collins.senate.gov,S6ME00159,"COLLINS, Susan Margaret",Senate,0.123,200,ME,0,49703,Republican
C001039,Kat Cammack,1988.0,https://www.congress.gov/img/member/c001039_200.jpg,"2421 Rayburn House Office Building, Washington, DC 20515",(202) 225-5744,https://cammack.house.gov,H0FL03175,"CAMMACK, Kat",House,0.592,200,FL,3,22107,Republican
C001047,Shelley Moore Capito,1953.0,https://www.congress.gov/img/member/c001047_200.jpg,"170 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-6472,https://www.capito.senate.gov,S4WV00159,"CAPITO, Shelley Moore",Senate,0.283,200,WV,0,20146,Republican
C001051,John R. Carter,1941.0,https://www.congress.gov/img/member/c001051_200.jpg,"2208 Rayburn House Office Building, Washington, DC 20515",(202) 225-3864,https://carter.house.gov/,H2TX31044,"CARTER, John R.",House,0.487,200,TX,31,20356,Republican
C001053,Tom Cole,1949.0,https://www.congress.gov/img/member/c001053_200.jpg,"2207 Rayburn House Office Building, Washington, DC 20515",(202) 225-6165,https://cole.house.gov,H2OK04055,"COLE, Tom",House,0.323,200,OK,4,20344,Republican
C001055,Ed Case,1952.0,https://www.congress.gov/img/member/c001055_200.jpg,"2210 Rayburn House Office Building, Washington, DC 20515",(202) 225-2726,https://case.house.gov/,H2HI02128,"CASE, Ed",House,-0.205,100,HI,1,20322,Democrat
C001056,John Cornyn,1952.0,https://www.congress.gov/img/member/c001056_200.jpg,"517 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-2934,https://www.cornyn.senate.gov/,S2TX00106,"CORNYN, John",Senate,0.47,200,TX,0,40305,Republican
C001059,Jim Costa,1952.0,https://www.congress.gov/img/member/116_rp_ca_16_costa_jim_200.jpg,"2081 Rayburn House Office Building, Washington, DC 20515",(202) 225-3341,https://costa.house.gov/,H4CA20082,"COSTA, Jim",House,-0.198,100,CA,21,20501,Democrat
C001061,Emanuel Cleaver,1944.0,https://www.congress.gov/img/member/116_rp_mo_5_cleaver_emanuel_200.jpg,"2217 Rayburn House Office Building, Washington, DC 20515",(202) 225-4535,https://cleaver.house.gov,H4MO05234,"CLEAVER, Emanuel, II",House,-0.453,100,MO,5,20517,Democrat
C001063,Henry Cuellar,1955.0,https://www.congress.gov/img/member/116_rp_tx_28_cuellar_henry_200.jpg,"2308 Rayburn House Office Building, Washington, DC 20515",(202) 225-1640,https://cuellar.house.gov/,H2TX23082,"CUELLAR, Henry",House,-0.225,100,TX,28,20533,Democrat
C001066,Kathy Castor,1966.0,https://www.congress.gov/img/member/c001066_200.jpg,"2188 Rayburn House Office Building, Washington, DC 20515",(202) 225-3376,https://castor.house.gov/,H6FL11126,"CASTOR, Kathy",House,-0.438,100,FL,14,20708,Democrat
C001067,Yvette D. Clarke,1964.0,https://www.congress.gov/img/member/674dfc6b5c48ff736e6e1762_200.jpg,"2058 Rayburn House Office Building, Washington, DC 20515",(202) 225-6231,https://clarke.house.gov/,H4NY11138,"CLARKE, Yvette Diane",House,-0.607,100,NY,9,20733,Democrat
C001068,Steve Cohen,1949.0,https://www.congress.gov/img/member/c001068_200.jpg,"2268 Rayburn House Office Building, Washington, DC 20515",(202) 225-3265,https://cohen.house.gov/,H6TN09068,"COHEN, Stephen",House,-0.39,100,TN,9,20748,Democrat
C001069,Joe Courtney,1953.0,https://www.congress.gov/img/member/c001069_200.jpg,"2449 Rayburn House Office Building, Washington, DC 20515",(202) 225-2076,https://courtney.house.gov/,H2CT02112,"COURTNEY, Joe",House,-0.337,100,CT,2,20706,Democrat
C001072,André Carson,1974.0,https://www.congress.gov/img/member/c001072_200.jpg,"2135 Rayburn House Office Building, Washington, DC 20515",(202) 225-4011,https://carson.house.gov/,H8IN07184,"CARSON, André",House,-0.436,100,IN,7,20757,Democrat
C001075,Bill Cassidy,1957.0,https://www.congress.gov/img/member/c001075_200.jpg,"455 Dirksen Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-5824,https://www.cassidy.senate.gov,S4LA00107,"CASSIDY, Bill",Senate,0.463,200,LA,0,20919,Republican
C001078,Gerald E. Connolly,1950.0,https://www.congress.gov/img/member/c001078_200.jpg,,,,H8VA11062,"CONNOLLY, Gerald E. (Gerry)",House,-0.309,100,VA,11,20952,Democrat
C001080,Judy Chu,1953.0,https://www.congress.gov/img/member/c001080_200.jpg,"2423 Rayburn House Office Building, Washington, DC 20515",(202) 225-5464,https://chu.house.gov/,H0CA32101,"CHU, Judy",House,-0.481,100,CA,28,20955,Democrat
C001087,"Eric A. ""Rick"" Crawford",1966.0,https://www.congress.gov/img/member/c001087_200.jpg,"2422 Rayburn House Office Building, Washington, DC 20515",(202) 225-4076,https://crawford.house.gov/,H0AR01083,"CRAWFORD, Rick",House,0.461,200,AR,1,21106,Republican
C001088,Christopher A. Coons,1963.0,https://www.congress.gov/img/member/c001088_200.jpg,"218 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-5042,https://www.coons.senate.gov/,S0DE00092,"COONS, Christopher A.",Senate,-0.237,100,DE,0,40916,Democrat
C001091,Joaquin Castro,1974.0,https://www.congress.gov/img/member/c001091_200.jpg,"2241 Rayburn House Office Building, Washington, DC 20515",(202) 225-3236,https://castro.house.gov,H2TX35011,"CASTRO, Joaquin",House,-0.4,100,TX,20,21362,Democrat
C001095,Tom Cotton,1977.0,https://www.congress.gov/img/member/c001095_200.jpg,"326 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-2353,https://www.cotton.senate.gov,S4AR00103,"COTTON, Tom",Senate,0.579,200,AR,0,21301,Republican
C001096,Kevin Cramer,1961.0,https://www.congress.gov/img/member/c001096_200.jpg,"313 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-2043,https://www.cramer.senate.gov,S8ND00120,"CRAMER, Kevin",Senate,0.398,200,ND,0,21350,Republican
C001098,Ted Cruz,1970.0,https://www.congress.gov/img/member/c001098_200.jpg,"167 Russell Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-5922,https://www.cruz.senate.gov,S2TX00312,"CRUZ, Rafael Edward (Ted)",Senate,0.779,200,TX,0,41304,Republican
C001101,Katherine M. Clark,1963.0,https://www.congress.gov/img/member/c001101_200.jpg,"2368 Rayburn House Office Building, Washington, DC 20515",(202) 225-2836,https://katherineclark.house.gov/index.cfm/home,H4MA05084,"CLARK, Katherine M.",House,-0.479,100,MA,5,21375,Democrat
C001103,"Earl L. ""Buddy"" Carter",1957.0,https://www.congress.gov/img/member/c001103_200.jpg,"2432 Rayburn House Office Building, Washington, DC 20515",(202) 225-5831,https://buddycarter.house.gov/,H4GA01039,"CARTER, Buddy",House,0.558,200,GA,1,21513,Republican
C001108,James Comer,1972.0,https://www.congress.gov/img/member/c001108_200.jpg,"2410 Rayburn House Office Building, Washington, DC 20515",(202) 225-3115,https://comer.house.gov/,H6KY01110,"COMER, James",House,0.592,200,KY,1,21565,Republican
C001110,J. Luis Correa,1958.0,https://www.congress.gov/img/member/115_rp_ca_46_correa_j_200.jpg,"2082 Rayburn House Office Building, Washington, DC 20515",(202) 225-2965,https://correa.house.gov,H6CA46116,"CORREA, Jose Luis",House,-0.285,100,CA,46,21711,Democrat
C001112,Salud O. Carbajal,1964.0,https://www.congress.gov/img/member/115_rp_ca_24_carbajal_salud_200.jpg,"2331 Rayburn House Office Building, Washington, DC 20515",(202) 225-3601,https://carbajal.house.gov,H6CA24303,"CARBAJAL, Salud",House,-0.326,100,CA,24,21709,Democrat
C001113,Catherine Cortez Masto,1964.0,https://www.congress.gov/img/member/c001113_200.jpg,"309 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20510",(202) 224-3542,https://www.cortezmasto.senate.gov,S6NV00200,"CORTEZ MASTO, Catherine Marie",Senate,-0.354,100,NV,0,41700,Democrat
C001114,John R. Curtis,1960.0,https://www.congress.gov/img/member/1b9d1007d6895a37da28a67cd8149803_200.jpg,"502 Hart Senate Office Building  Washington, DC 20510, Washington, DC 20515",(202) 224-5251,https://www.curtis.senate.gov/,S4UT00282,"CURTIS, John R.",Senate,0.45,200,UT,0,21755,Republican
C001115,Michael Cloud,1975.0,https://www.congress.gov/img/member/115_rp_tx_27_cloud_michael_200.jpg,"304 Cannon House Office Building, Washington, DC 20515",(202) 225-7742,https://cloud.house.gov,H8TX27049,"CLOUD, Michael",House,0.69,200,TX,27,21758,Republican
C001116,Andrew S. Clyde,1963.0,https://www.congress.gov/img/member/c001116_200.jpg,"445 Cannon House Office Building, Washington, DC 20515",(202) 225-9893,https://clyde.house.gov,H0GA09113,"CLYDE, Andrew S.",House,0.824,200,GA,9,22110,Republican
C001117,Sean Casten,1971.0,https://www.congress.gov/img/member/c001117_200.jpg,"2440 Rayburn House Office Building, Washington, DC 20515",(202) 225-4561,https://casten.house.gov,H8IL06139,"CASTEN, Sean",House,-0.637,100,IL,6,21906,Democrat
C001118,Ben Cline,1972.0,https://www.congress.gov/img/member/c001118_200.jpg,"2443 Rayburn House Office Building, Washington, DC 20515",(202) 225-5431,https://cline.house.gov,H8VA06104,"CLINE, Benjamin",House,0.716,200,VA,6,21908,Republican
C001119,Angie Craig,1972.0,https://www.congress.gov/img/member/c001119_200.jpg,"2052 Rayburn House Office Building, Washington, DC 20515",(202) 225-2271,https://craig.house.gov,H6MN02131,"CRAIG, Angela",House,-0.269,100,MN,2,21910,Democrat
C001120,Dan Crenshaw,1984.0,https://www.congress.gov/img/member/c001120_200.jpg,"248 Cannon House Office Building, Washington, DC 20515",(202) 225-6565,https://crenshaw.house.gov/,H8TX02166,"CRENSHAW, Daniel",House,0.434,200,TX,2,21911,Republican
C001121,Jason Crow,1979.0,https://www.congress.gov/img/member/c001121_200.jpg,"1323 Longworth House Office Building, Washington, DC 20515",(202) 225-7882,https://crow.house.gov/,H8CO06229,"CROW, Jason",House,-0.356,100,CO,6,21912,Democrat
C001123,"Gilbert Ray Cisneros, Jr.",1971.0,https://www.congress.gov/img/member/6807d8d63e52ea7df920ef05_200.jpg,"2463 Rayburn House Office Building, Washington, DC 20515",(202) 225-5256,https://cisneros.house.gov/,H4CA31170,"CISNEROS, Gil",House,-0.466,100,CA,31,21907,Democrat
C001125,Troy A. Carter,1963.0,https://www.congress.gov/img/member/c001125_200.jpg,"442 Cannon House Office Building, Washington, DC 20515",(202) 225-6636,https://troycarter.house.gov,H8LA02088,"CARTER, Troy",House,-0.511,100,LA,2,22158,Democrat
C001126,Mike Carey,1971.0,https://www.congress.gov/img/member/c001126_200.jpg,"1433 Longworth House Office Building, Washington, DC 20515",(202) 225-2015,https://carey.house.gov,H2OH15228,"CAREY, Mike",House,0.406,200,OH,15,22162,Republican
