,actiondate,actiondesc,currentchamber,currentchambercode,lastsummaryupdatedate,text,updatedate,versioncode,bill_number,bill_type
10,2025-10-08,Introduced in House,House,H,2025-10-17T14:49:02Z,"<p><b>Federal Employees Civil Relief Act</b></p> <p>This bill establishes a framework to temporarily suspend certain judicial and administrative proceedings against a federal employee or contractor during a shutdown. </p> <p>Under the bill, a <i>shutdown </i>is a period in which (1) there is more than a 24-hour lapse in appropriations for any federal agency or department because a regular appropriations bill or a continuing resolution has not been enacted, or (2) the debt of the federal government is greater than the statutory limit. </p> <p>A federal worker (i.e., an employee of a government agency or contractor) who is furloughed or required to work without pay during a shutdown may apply to a court for a temporary stay, postponement, or suspension with respect to any payment of rent, mortgage, tax, fine, penalty, insurance premium, student loan repayment, or other civil obligation or liability that the worker owes or would owe during the duration of the shutdown.</p> <p>The bill includes related provisions that restrict evictions, foreclosures, the enforcement of liens, and the termination of insurance policies during a shutdown. It also provides for the deferral of federal income taxes and student loan payments during a shutdown. </p> <p>The Department of Justice may commence a civil action against any person who engages in (1) a pattern or practice of violating the requirements of this bill, or (2) a violation that raises an issue of significant public importance. A person aggrieved by a violation of this bill's requirements may also bring a private right of action.</p>",2025-10-17T14:51:10Z,0,5708,HR
11,2025-10-03,Introduced in House,House,H,2025-10-17T14:32:40Z,"<p><strong>Stop Stealing Our Jobs Act</strong></p><p>This bill prohibits the President or the head of an executive agency from removing a federal employee from the civil service (e.g., as part of a reduction in force) during a lapse in discretionary appropriations (i.e., government shutdown) unless the employee is a political appointee.&nbsp;</p>",2025-10-17T14:33:43Z,0,5676,HR
12,2025-09-30,Introduced in House,House,H,2025-10-17T13:25:21Z,"<p><strong>Pay Our Military Act</strong></p><p>This bill provides continuing appropriations for military pay for any period during which interim or full-year appropriations for FY2026 are not in effect (i.e., a government shutdown).</p><p>Specifically, the bill provides FY2026 continuing appropriations for the pay and allowances of (1) members of the Armed Forces, including reserve components, who perform active service or inactive-duty training during the period; and (2) civilian employees and contractors of the Department of Defense (and the Department of Homeland Security in the case of the Coast Guard when the Coast Guard is not operating as a service in the Department of the Navy) who are providing support to such members of the Armed Forces.</p><p>If a government shutdown occurs, the bill provides the continuing appropriations until the earlier of (1) the enactment into law of specified appropriations legislation, or (2) January 1, 2027.&nbsp;</p>",2025-10-17T13:27:59Z,0,5660,HR
13,2025-10-14,Introduced in House,House,H,2025-10-16T14:57:40Z,"<p>This resolution requests that the President submit certain information to Congress regarding a reduction in force or the withholding of pay due to the lapse in appropriations (i.e., government shutdown) that began on October 1, 2025.</p><p>Specifically, the resolution requests that the President submit to Congress any and all documents and communications related to</p><ul><li>any proposed reduction in force at a federal agency related to the lapse in appropriations,</li><li>efforts to create a legal determination at the Office of Management and Budget finding or suggesting that the Government Employee Fair Treatment Act of 2019 does not create a self-executing requirement that furloughed federal employees must receive pay for the period in which they were furloughed during a lapse in appropriations immediately after the lapse in appropriations ends, and</li><li>efforts or plans to withhold pay for the period of the lapse of appropriations for excepted or furloughed federal or District of Columbia&nbsp;employees.</li></ul><p>The resolution also requests that the President submit to Congress any documents or communications between the President's office, the Vice President's office, the Office of Personnel Management, the Office of Management and Budget, the Office of Special Counsel, and the Merit System Protection Board regarding these topics.&nbsp;</p>",2025-10-16T15:03:51Z,0,807,HRES
14,2025-10-14,Introduced in House,House,H,2025-10-16T14:05:24Z,"<p><strong>No Budget, No Pay Act</strong></p><p>This bill prohibits Members of Congress from being paid in a fiscal year until both chambers approve the budget resolution and pass all regular appropriations bills for that fiscal year. Retroactive pay is prohibited for such a period.&nbsp;</p>",2025-10-16T14:07:06Z,0,5755,HR
15,2025-10-14,Introduced in House,House,H,2025-10-16T13:51:27Z,"<p><strong>Home Energy Assistance in Times of Shutdown Act or the HEATS Act</strong></p><p>This bill provides appropriations for the Low Income Home Energy Assistance Program (LIHEAP) during any period in which there is a lapse in discretionary appropriations for any fiscal year (i.e., a government shutdown). Under&nbsp;LIHEAP, the federal government makes annual grants to states, tribes, and territories to operate home energy assistance programs for low-income households. The bill provides appropriations for LIHEAP payments to continue during a government shutdown.&nbsp;</p>",2025-10-16T13:52:54Z,0,5756,HR
16,2025-09-30,Introduced in House,House,H,2025-10-16T13:04:33Z,"<p>This bill provides appropriations for&nbsp;the Coast Guard if there is a lapse in appropriations for the Coast Guard. Specifically, the bill provides the appropriations that are necessary for the operation of the Coast Guard for the lesser of (1) 30 days, or (2) the duration of the lapse in appropriations.</p>",2025-10-16T13:05:03Z,0,5666,HR
17,2025-09-30,Introduced in House,House,H,2025-10-15T14:18:11Z,"<p><strong>Fair Pay for Federal Contractors Act of 2025</strong></p><p>This bill provides back pay to employees of federal contractors who lost pay due to a lapse in appropriations (i.e., government shutdown) in FY2026.</p><p>Specifically, the bill provides appropriations for federal agencies that are subject to a lapse in appropriations in FY2026 to adjust the price of contracts to compensate federal contractors for&nbsp;providing back pay to employees who were affected by the lapse in appropriations.&nbsp;</p><p>The agencies must adjust the price of any contract for which the contractor stopped, suspended, delayed, or interrupted all or part of the work under the contract due to the lapse in appropriations. The price adjustment must compensate the contractor for reasonable costs incurred to (1) compensate employees who were furloughed or laid off, were not working, or experienced a reduction of hours or compensation due to the lapse in appropriations; or (2) restore paid leave taken by employees during the lapse in appropriations if the contractor required or permitted employees to use paid leave as a result of the lapse in appropriations.</p><p>The maximum amount of weekly compensation of an employee for which an adjustment may be made under this bill may not exceed the lesser of (1) the employee's actual weekly compensation, or (2) $1,442 (or a lesser amount pro-rated for an employee who works less than 40 hours per week).</p><p>The bill also requires the Office of Federal Procurement Policy to submit a report to Congress on the adjustments made under this bill.</p>",2025-10-15T14:18:41Z,0,5657,HR
18,2025-10-10,Introduced in House,House,H,2025-10-14T15:38:05Z,"<p>This resolution requires the House of Representatives to convene and hold recorded quorum calls during a government shutdown. It also limits recesses and adjournments during a government shutdown.&nbsp;</p><p>Under the resolution, a government shutdown occurs when there is a lapse in appropriations for any federal agency or department as a result of a failure to enact a regular appropriations bill or a continuing resolution.</p><p>The resolution requires the House to convene on each day on which a government shutdown is in effect unless a recess or adjournment is permitted. Under the resolution, such a recess or adjournment is only permitted if&nbsp;</p><ul><li>the House has met for each of the first five consecutive calendar days on which the government shutdown is in effect,</li><li>the proposed period of adjournment or recess does not last for more than two consecutive calendar days, and</li><li>the House has met for at least five consecutive calendar days since the expiration of the most recent period of adjournment or recess.</li></ul><p>The resolution also requires the House to hold at least one recorded quorum call on each day that the House is in session during a government shutdown.&nbsp;</p><p>Members of the House who fail to record their presence during a quorum call on two or more consecutive days must be fined $500 for a first offense and $2,500 for any subsequent offense unless the failure is due to an illness. A Member may not use official or campaign funds to pay the fine.&nbsp;&nbsp;</p>",2025-10-14T15:39:46Z,0,802,HRES
19,2025-10-09,Introduced in Senate,Senate,S,2025-10-14T13:57:14Z,"<p><strong>Pay Our Military Act of 2025</strong></p><p>This bill provides continuing appropriations for military pay for any period during which interim or full-year appropriations for FY2026 are not in effect (i.e., a government shutdown).</p><p>Specifically, the bill provides FY2026 continuing appropriations for the pay and allowances of (1) members of the Armed Forces, including reserve components, who perform active service during the period; and (2) civilian personnel and contractors of the Department of Defense (and the Department of Homeland Security in the case of the Coast Guard) who are providing support to such members of the Armed Forces.</p><p>If a government shutdown occurs, the bill provides the continuing appropriations until the earlier of (1) the enactment into law of specified appropriations legislation, or (2) January 1, 2027.&nbsp;</p>",2025-10-14T13:57:54Z,0,3002,S
20,2025-09-16,Introduced in House,House,H,2025-10-09T20:08:55Z,"<p><strong>Pay Our Troops Act of 2026</strong></p><p>This bill provides continuing appropriations for military pay for any period during which interim or full-year appropriations for FY2026 are not in effect (i.e., a government shutdown).</p><p>Specifically, the bill provides FY2026 continuing appropriations for the pay and allowances of (1) members of the Armed Forces, including reserve components, who perform active service during the period; and (2) civilian personnel and contractors of the Department of Defense (and the Department of Homeland Security in the case of the Coast Guard) who are providing support to such members of the Armed Forces.</p><p>If a government shutdown occurs, the bill provides the continuing appropriations until the earlier of (1) the enactment into law of specified appropriations legislation, or (2) January 1, 2027.&nbsp;</p>",2025-10-09T20:11:15Z,0,5401,HR
21,2025-09-26,Introduced in House,House,H,2025-10-09T15:31:48Z,"<p><strong>Funding Small Businesses During Shutdown Act</strong></p><p>This bill provides FY2026 appropriations to continue servicing loans made under certain Small Business Administration (SBA) loan programs if there is a lapse in discretionary appropriations (i.e., government shutdown) in FY2026.</p><p>If there is a lapse in FY2026 appropriations for the SBA, the bill provides specified appropriations to pay for the salaries and expenses necessary to continue servicing any loans made under several loan programs authorized by the Small Business Act and the Small Business Investment Act of 1958.</p><p>The bill provides the appropriations for any 30-day period in which there is a lapse in SBA appropriations and on a pro-rated basis if the lapse is less than 30 days.</p>",2025-10-09T15:35:42Z,0,5568,HR
22,2025-09-30,Introduced in House,House,H,2025-10-08T17:54:22Z,"<p><strong>Pay Workers What They’ve Earned Act</strong></p><p>This bill requires the federal government to reimburse states and employees of the federal government, the District of Columbia government, or federal contractors for certain costs incurred as a result of a lapse in appropriations (i.e., a government shutdown).&nbsp;</p><p>Employee costs that must be reimbursed include costs incurred by an employee as a direct result of a lapse in appropriations, including expenses for loans and credit cards, and any fees, fines, or interest resulting from the employee's inability to make payments as a direct result of a loss in salary due to the lapse in appropriations.&nbsp;</p><p>With respect to a lapse in appropriations that begins on or about October 1, 2025, employees must be reimbursed for any shutdown costs on the earliest date possible after the enactment of this bill (subject to the enactment of an appropriations act ending the lapse). For subsequent lapses in appropriations, the bill requires that each employee be reimbursed for any shutdown costs on the earliest date possible after the end of a lapse in appropriations that lasts at least 14 days.</p><p>States must be reimbursed for payments for assistance programs that would otherwise be provided by the federal government but&nbsp;for a lapse in appropriations that lasts at least 14 days. The states must be reimbursed no later than 90 days after the end of the lapse in appropriations.&nbsp;</p><p>The reimbursements required by this bill are subject to the availability of appropriations.&nbsp;</p>",2025-10-08T17:54:39Z,0,5628,HR
23,2025-02-10,Introduced in Senate,Senate,S,2025-10-08T14:55:15Z,"<p><strong>Government Shutdown Prevention Act of 2025</strong></p><p>This bill provides continuing appropriations to prevent a government shutdown if an appropriations bill for a fiscal year has not been enacted before the fiscal year begins and continuing appropriations are not in effect.</p><p>For an initial 90-day period, the bill provides continuing appropriations at 94% of the rate for the preceding year to continue programs, projects, and activities for which funds were provided in the preceding fiscal year. The bill reduces the continuing appropriations by 1% after the first 90-day period and by an additional 1% for each subsequent 90-day period until the applicable appropriations legislation is enacted.</p>",2025-10-08T14:55:57Z,0,499,S
24,2025-09-16,Introduced in House,House,H,2025-10-08T14:54:32Z,"<p><strong>Government Shutdown Prevention Act of 2025</strong></p><p>This bill provides continuing appropriations to prevent a government shutdown if an appropriations bill for a fiscal year has not been enacted before the fiscal year begins and continuing appropriations are not in effect.</p><p>For an initial 90-day period, the bill provides continuing appropriations at 94% of the rate for the preceding year to continue programs, projects, and activities for which funds were provided in the preceding fiscal year. The bill reduces the continuing appropriations by 1% after the first 90-day period and by an additional 1% for each subsequent 90-day period until the applicable appropriations legislation is enacted.</p>",2025-10-08T14:54:43Z,0,5405,HR
25,2025-10-03,Introduced in House,House,H,2025-10-07T13:44:04Z,"<p><strong>Pay Our Public Shipyard Workers Act</strong></p><p>This bill provides continuing appropriations to pay public shipyard workers during any period in which interim or full-year appropriations for FY2026 or FY2027 are not in effect (i.e., a government shutdown).</p><p>Specifically, the bill provides continuing appropriations to provide pay and allowances to civilian and military public shipyard workers who work during the government&nbsp;shutdown.</p><p>If a government shutdown occurs, the bill provides the continuing appropriations until the earlier of (1) the enactment into law of specified appropriations legislation, or (2) January 1, 2027.&nbsp;</p>",2025-10-07T13:45:18Z,0,5680,HR
26,2025-09-26,Introduced in House,House,H,2025-10-07T13:20:10Z,"<p>This bill prohibits the removal of federal employees from the civil service during a government shutdown due to a lapse in discretionary appropriations. If an employee is removed from the civil service in violation of this bill, the employee may elect to be reinstated with back pay on the&nbsp;date on which the lapse in appropriations ends.&nbsp;</p>",2025-10-07T13:21:12Z,0,5599,HR
27,2025-09-30,Introduced in House,House,H,2025-10-07T13:11:51Z,"<p><strong>No Work, No Pay Act of 2025</strong></p><p>This bill prohibits Members of Congress from being paid during a government shutdown, beginning with the 120th Congress. Under the bill, a government shutdown is in effect when there is a lapse in appropriations for any federal agency or department as a result of a failure to enact a regular appropriations bill or a continuing resolution.</p>",2025-10-07T13:12:08Z,0,5637,HR
