bioguide_id,chamber,congress,stateCode,startYear,endYear,district
S001211,House of Representatives,116,AZ,2019,2021,9.0
S001211,House of Representatives,117,AZ,2021,2023,9.0
S001211,House of Representatives,118,AZ,2023,2025,4.0
S001211,House of Representatives,119,AZ,2025,2027,4.0
C001133,House of Representatives,118,AZ,2023,2025,6.0
C001133,House of Representatives,119,AZ,2025,2027,6.0
C001132,House of Representatives,118,AZ,2023,2025,2.0
C001132,House of Representatives,119,AZ,2025,2027,2.0
A000381,House of Representatives,119,AZ,2025,2027,3.0
H001098,House of Representatives,119,AZ,2025,2027,8.0
C001087,House of Representatives,112,AR,2011,2013,1.0
C001087,House of Representatives,113,AR,2013,2015,1.0
C001087,House of Representatives,114,AR,2015,2017,1.0
C001087,House of Representatives,115,AR,2017,2019,1.0
C001087,House of Representatives,116,AR,2019,2021,1.0
C001087,House of Representatives,117,AR,2021,2023,1.0
C001087,House of Representatives,118,AR,2023,2025,1.0
C001087,House of Representatives,119,AR,2025,2027,1.0
W000809,House of Representatives,112,AR,2011,2013,3.0
W000809,House of Representatives,113,AR,2013,2015,3.0
W000809,House of Representatives,114,AR,2015,2017,3.0
W000809,House of Representatives,115,AR,2017,2019,3.0
W000809,House of Representatives,116,AR,2019,2021,3.0
W000809,House of Representatives,117,AR,2021,2023,3.0
W000809,House of Representatives,118,AR,2023,2025,3.0
W000809,House of Representatives,119,AR,2025,2027,3.0
H001072,House of Representatives,114,AR,2015,2017,2.0
H001072,House of Representatives,115,AR,2017,2019,2.0
H001072,House of Representatives,116,AR,2019,2021,2.0
H001072,House of Representatives,117,AR,2021,2023,2.0
H001072,House of Representatives,118,AR,2023,2025,2.0
H001072,House of Representatives,119,AR,2025,2027,2.0
W000821,House of Representatives,114,AR,2015,2017,4.0
W000821,House of Representatives,115,AR,2017,2019,4.0
W000821,House of Representatives,116,AR,2019,2021,4.0
W000821,House of Representatives,117,AR,2021,2023,4.0
W000821,House of Representatives,118,AR,2023,2025,4.0
W000821,House of Representatives,119,AR,2025,2027,4.0
P000197,House of Representatives,100,CA,1987,1989,5.0
P000197,House of Representatives,101,CA,1989,1991,5.0
P000197,House of Representatives,102,CA,1991,1993,5.0
P000197,House of Representatives,103,CA,1993,1995,8.0
P000197,House of Representatives,104,CA,1995,1997,8.0
P000197,House of Representatives,105,CA,1997,1999,8.0
P000197,House of Representatives,106,CA,1999,2001,8.0
P000197,House of Representatives,107,CA,2001,2003,8.0
P000197,House of Representatives,108,CA,2003,2005,8.0
P000197,House of Representatives,109,CA,2005,2007,8.0
P000197,House of Representatives,110,CA,2007,2009,8.0
P000197,House of Representatives,111,CA,2009,2011,8.0
P000197,House of Representatives,112,CA,2011,2013,8.0
P000197,House of Representatives,113,CA,2013,2015,12.0
P000197,House of Representatives,114,CA,2015,2017,12.0
P000197,House of Representatives,115,CA,2017,2019,12.0
P000197,House of Representatives,116,CA,2019,2021,12.0
P000197,House of Representatives,117,CA,2021,2023,12.0
P000197,House of Representatives,118,CA,2023,2025,11.0
P000197,House of Representatives,119,CA,2025,2027,11.0
I000056,House of Representatives,107,CA,2001,2003,48.0
I000056,House of Representatives,108,CA,2003,2005,49.0
I000056,House of Representatives,109,CA,2005,2007,49.0
I000056,House of Representatives,110,CA,2007,2009,49.0
I000056,House of Representatives,111,CA,2009,2011,49.0
I000056,House of Representatives,112,CA,2011,2013,49.0
I000056,House of Representatives,113,CA,2013,2015,49.0
I000056,House of Representatives,114,CA,2015,2017,49.0
I000056,House of Representatives,115,CA,2017,2019,49.0
I000056,House of Representatives,117,CA,2021,2023,50.0
I000056,House of Representatives,118,CA,2023,2025,48.0
I000056,House of Representatives,119,CA,2025,2027,48.0
S001156,House of Representatives,108,CA,2003,2005,39.0
S001156,House of Representatives,109,CA,2005,2007,39.0
S001156,House of Representatives,110,CA,2007,2009,39.0
S001156,House of Representatives,111,CA,2009,2011,39.0
S001156,House of Representatives,112,CA,2011,2013,39.0
S001156,House of Representatives,113,CA,2013,2015,38.0
S001156,House of Representatives,114,CA,2015,2017,38.0
S001156,House of Representatives,115,CA,2017,2019,38.0
S001156,House of Representatives,116,CA,2019,2021,38.0
S001156,House of Representatives,117,CA,2021,2023,38.0
S001156,House of Representatives,118,CA,2023,2025,38.0
S001156,House of Representatives,119,CA,2025,2027,38.0
C001059,House of Representatives,109,CA,2005,2007,20.0
C001059,House of Representatives,110,CA,2007,2009,20.0
C001059,House of Representatives,111,CA,2009,2011,20.0
C001059,House of Representatives,112,CA,2011,2013,20.0
C001059,House of Representatives,113,CA,2013,2015,16.0
C001059,House of Representatives,114,CA,2015,2017,16.0
C001059,House of Representatives,115,CA,2017,2019,16.0
C001059,House of Representatives,116,CA,2019,2021,16.0
C001059,House of Representatives,117,CA,2021,2023,16.0
C001059,House of Representatives,118,CA,2023,2025,21.0
C001059,House of Representatives,119,CA,2025,2027,21.0
M001163,House of Representatives,109,CA,2005,2007,5.0
M001163,House of Representatives,110,CA,2007,2009,5.0
M001163,House of Representatives,111,CA,2009,2011,5.0
M001163,House of Representatives,112,CA,2011,2013,5.0
M001163,House of Representatives,113,CA,2013,2015,6.0
M001163,House of Representatives,114,CA,2015,2017,6.0
M001163,House of Representatives,115,CA,2017,2019,6.0
M001163,House of Representatives,116,CA,2019,2021,6.0
M001163,House of Representatives,117,CA,2021,2023,6.0
M001163,House of Representatives,118,CA,2023,2025,7.0
M001163,House of Representatives,119,CA,2025,2027,7.0
M001177,House of Representatives,111,CA,2009,2011,4.0
M001177,House of Representatives,112,CA,2011,2013,4.0
M001177,House of Representatives,113,CA,2013,2015,4.0
M001177,House of Representatives,114,CA,2015,2017,4.0
M001177,House of Representatives,115,CA,2017,2019,4.0
M001177,House of Representatives,116,CA,2019,2021,4.0
M001177,House of Representatives,117,CA,2021,2023,4.0
M001177,House of Representatives,118,CA,2023,2025,5.0
M001177,House of Representatives,119,CA,2025,2027,5.0
C001080,House of Representatives,111,CA,2009,2011,32.0
C001080,House of Representatives,112,CA,2011,2013,32.0
C001080,House of Representatives,113,CA,2013,2015,27.0
C001080,House of Representatives,114,CA,2015,2017,27.0
C001080,House of Representatives,115,CA,2017,2019,27.0
C001080,House of Representatives,116,CA,2019,2021,27.0
C001080,House of Representatives,117,CA,2021,2023,27.0
C001080,House of Representatives,118,CA,2023,2025,28.0
C001080,House of Representatives,119,CA,2025,2027,28.0
G000559,House of Representatives,111,CA,2009,2011,10.0
G000559,House of Representatives,112,CA,2011,2013,10.0
G000559,House of Representatives,113,CA,2013,2015,3.0
G000559,House of Representatives,114,CA,2015,2017,3.0
G000559,House of Representatives,115,CA,2017,2019,3.0
G000559,House of Representatives,116,CA,2019,2021,3.0
G000559,House of Representatives,117,CA,2021,2023,3.0
G000559,House of Representatives,118,CA,2023,2025,8.0
G000559,House of Representatives,119,CA,2025,2027,8.0
L000578,House of Representatives,113,CA,2013,2015,1.0
L000578,House of Representatives,114,CA,2015,2017,1.0
L000578,House of Representatives,115,CA,2017,2019,1.0
L000578,House of Representatives,116,CA,2019,2021,1.0
L000578,House of Representatives,117,CA,2021,2023,1.0
L000578,House of Representatives,118,CA,2023,2025,1.0
L000578,House of Representatives,119,CA,2025,2027,1.0
H001068,House of Representatives,113,CA,2013,2015,2.0
H001068,House of Representatives,114,CA,2015,2017,2.0
H001068,House of Representatives,115,CA,2017,2019,2.0
H001068,House of Representatives,116,CA,2019,2021,2.0
H001068,House of Representatives,117,CA,2021,2023,2.0
H001068,House of Representatives,118,CA,2023,2025,2.0
H001068,House of Representatives,119,CA,2025,2027,2.0
B001287,House of Representatives,113,CA,2013,2015,7.0
B001287,House of Representatives,114,CA,2015,2017,7.0
B001287,House of Representatives,115,CA,2017,2019,7.0
B001287,House of Representatives,116,CA,2019,2021,7.0
B001287,House of Representatives,117,CA,2021,2023,7.0
B001287,House of Representatives,118,CA,2023,2025,6.0
B001287,House of Representatives,119,CA,2025,2027,6.0
S001193,House of Representatives,113,CA,2013,2015,15.0
S001193,House of Representatives,114,CA,2015,2017,15.0
S001193,House of Representatives,115,CA,2017,2019,15.0
S001193,House of Representatives,116,CA,2019,2021,15.0
S001193,House of Representatives,117,CA,2021,2023,15.0
S001193,House of Representatives,118,CA,2023,2025,14.0
S001193,House of Representatives,119,CA,2025,2027,14.0
V000129,House of Representatives,113,CA,2013,2015,21.0
V000129,House of Representatives,114,CA,2015,2017,21.0
V000129,House of Representatives,115,CA,2017,2019,21.0
V000129,House of Representatives,117,CA,2021,2023,21.0
V000129,House of Representatives,118,CA,2023,2025,22.0
V000129,House of Representatives,119,CA,2025,2027,22.0
B001285,House of Representatives,113,CA,2013,2015,26.0
B001285,House of Representatives,114,CA,2015,2017,26.0
B001285,House of Representatives,115,CA,2017,2019,26.0
B001285,House of Representatives,116,CA,2019,2021,26.0
B001285,House of Representatives,117,CA,2021,2023,26.0
B001285,House of Representatives,118,CA,2023,2025,26.0
B001285,House of Representatives,119,CA,2025,2027,26.0
R000599,House of Representatives,113,CA,2013,2015,36.0
R000599,House of Representatives,114,CA,2015,2017,36.0
R000599,House of Representatives,115,CA,2017,2019,36.0
R000599,House of Representatives,116,CA,2019,2021,36.0
R000599,House of Representatives,117,CA,2021,2023,36.0
R000599,House of Representatives,118,CA,2023,2025,25.0
R000599,House of Representatives,119,CA,2025,2027,25.0
T000472,House of Representatives,113,CA,2013,2015,41.0
T000472,House of Representatives,114,CA,2015,2017,41.0
T000472,House of Representatives,115,CA,2017,2019,41.0
T000472,House of Representatives,116,CA,2019,2021,41.0
T000472,House of Representatives,117,CA,2021,2023,41.0
T000472,House of Representatives,118,CA,2023,2025,39.0
T000472,House of Representatives,119,CA,2025,2027,39.0
V000130,House of Representatives,113,CA,2013,2015,51.0
V000130,House of Representatives,114,CA,2015,2017,51.0
V000130,House of Representatives,115,CA,2017,2019,51.0
V000130,House of Representatives,116,CA,2019,2021,51.0
V000130,House of Representatives,117,CA,2021,2023,51.0
V000130,House of Representatives,118,CA,2023,2025,52.0
V000130,House of Representatives,119,CA,2025,2027,52.0
P000608,House of Representatives,113,CA,2013,2015,52.0
P000608,House of Representatives,114,CA,2015,2017,52.0
P000608,House of Representatives,115,CA,2017,2019,52.0
P000608,House of Representatives,116,CA,2019,2021,52.0
P000608,House of Representatives,117,CA,2021,2023,52.0
P000608,House of Representatives,118,CA,2023,2025,50.0
P000608,House of Representatives,119,CA,2025,2027,50.0
D000623,House of Representatives,114,CA,2015,2017,11.0
D000623,House of Representatives,115,CA,2017,2019,11.0
D000623,House of Representatives,116,CA,2019,2021,11.0
D000623,House of Representatives,117,CA,2021,2023,11.0
D000623,House of Representatives,118,CA,2023,2025,10.0
D000623,House of Representatives,119,CA,2025,2027,10.0
A000371,House of Representatives,114,CA,2015,2017,31.0
A000371,House of Representatives,115,CA,2017,2019,31.0
A000371,House of Representatives,116,CA,2019,2021,31.0
A000371,House of Representatives,117,CA,2021,2023,31.0
A000371,House of Representatives,118,CA,2023,2025,33.0
A000371,House of Representatives,119,CA,2025,2027,33.0
L000582,House of Representatives,114,CA,2015,2017,33.0
L000582,House of Representatives,115,CA,2017,2019,33.0
L000582,House of Representatives,116,CA,2019,2021,33.0
L000582,House of Representatives,117,CA,2021,2023,33.0
L000582,House of Representatives,118,CA,2023,2025,36.0
L000582,House of Representatives,119,CA,2025,2027,36.0
T000474,House of Representatives,114,CA,2015,2017,35.0
T000474,House of Representatives,115,CA,2017,2019,35.0
T000474,House of Representatives,116,CA,2019,2021,35.0
T000474,House of Representatives,117,CA,2021,2023,35.0
T000474,House of Representatives,118,CA,2023,2025,35.0
T000474,House of Representatives,119,CA,2025,2027,35.0
B001300,House of Representatives,115,CA,2017,2019,44.0
B001300,House of Representatives,116,CA,2019,2021,44.0
B001300,House of Representatives,117,CA,2021,2023,44.0
B001300,House of Representatives,118,CA,2023,2025,44.0
B001300,House of Representatives,119,CA,2025,2027,44.0
C001112,House of Representatives,115,CA,2017,2019,24.0
C001112,House of Representatives,116,CA,2019,2021,24.0
C001112,House of Representatives,117,CA,2021,2023,24.0
C001112,House of Representatives,118,CA,2023,2025,24.0
C001112,House of Representatives,119,CA,2025,2027,24.0
C001110,House of Representatives,115,CA,2017,2019,46.0
C001110,House of Representatives,116,CA,2019,2021,46.0
C001110,House of Representatives,117,CA,2021,2023,46.0
C001110,House of Representatives,118,CA,2023,2025,46.0
C001110,House of Representatives,119,CA,2025,2027,46.0
K000389,House of Representatives,115,CA,2017,2019,17.0
K000389,House of Representatives,116,CA,2019,2021,17.0
K000389,House of Representatives,117,CA,2021,2023,17.0
K000389,House of Representatives,118,CA,2023,2025,17.0
K000389,House of Representatives,119,CA,2025,2027,17.0
P000613,House of Representatives,115,CA,2017,2019,20.0
P000613,House of Representatives,116,CA,2019,2021,20.0
P000613,House of Representatives,117,CA,2021,2023,20.0
P000613,House of Representatives,118,CA,2023,2025,19.0
P000613,House of Representatives,119,CA,2025,2027,19.0
G000585,House of Representatives,115,CA,2017,2019,34.0
G000585,House of Representatives,116,CA,2019,2021,34.0
G000585,House of Representatives,117,CA,2021,2023,34.0
G000585,House of Representatives,118,CA,2023,2025,34.0
G000585,House of Representatives,119,CA,2025,2027,34.0
C001123,House of Representatives,116,CA,2019,2021,39.0
C001123,House of Representatives,119,CA,2025,2027,31.0
H001090,House of Representatives,116,CA,2019,2021,10.0
H001090,House of Representatives,117,CA,2021,2023,10.0
H001090,House of Representatives,118,CA,2023,2025,9.0
H001090,House of Representatives,119,CA,2025,2027,9.0
L000593,House of Representatives,116,CA,2019,2021,49.0
L000593,House of Representatives,117,CA,2021,2023,49.0
L000593,House of Representatives,118,CA,2023,2025,49.0
L000593,House of Representatives,119,CA,2025,2027,49.0
J000305,House of Representatives,117,CA,2021,2023,53.0
J000305,House of Representatives,118,CA,2023,2025,51.0
J000305,House of Representatives,119,CA,2025,2027,51.0
K000397,House of Representatives,117,CA,2021,2023,39.0
K000397,House of Representatives,118,CA,2023,2025,40.0
K000397,House of Representatives,119,CA,2025,2027,40.0
O000019,House of Representatives,117,CA,2021,2023,8.0
O000019,House of Representatives,118,CA,2023,2025,23.0
O000019,House of Representatives,119,CA,2025,2027,23.0
G000598,House of Representatives,118,CA,2023,2025,42.0
G000598,House of Representatives,119,CA,2025,2027,42.0
K000400,House of Representatives,118,CA,2023,2025,37.0
K000400,House of Representatives,119,CA,2025,2027,37.0
K000401,House of Representatives,118,CA,2023,2025,3.0
K000401,House of Representatives,119,CA,2025,2027,3.0
M001225,House of Representatives,118,CA,2023,2025,15.0
M001225,House of Representatives,119,CA,2025,2027,15.0
F000480,House of Representatives,118,CA,2024,2025,20.0
F000480,House of Representatives,119,CA,2025,2027,20.0
F000483,House of Representatives,119,CA,2025,2027,30.0
G000605,House of Representatives,119,CA,2025,2027,13.0
L000607,House of Representatives,119,CA,2025,2027,16.0
M001241,House of Representatives,119,CA,2025,2027,47.0
R000620,House of Representatives,119,CA,2025,2027,29.0
S001231,House of Representatives,119,CA,2025,2027,12.0
T000491,House of Representatives,119,CA,2025,2027,45.0
W000830,House of Representatives,119,CA,2025,2027,27.0
W000187,House of Representatives,102,CA,1991,1993,29.0
W000187,House of Representatives,103,CA,1993,1995,35.0
W000187,House of Representatives,104,CA,1995,1997,35.0
W000187,House of Representatives,105,CA,1997,1999,35.0
W000187,House of Representatives,106,CA,1999,2001,35.0
W000187,House of Representatives,107,CA,2001,2003,35.0
W000187,House of Representatives,108,CA,2003,2005,35.0
W000187,House of Representatives,109,CA,2005,2007,35.0
W000187,House of Representatives,110,CA,2007,2009,35.0
W000187,House of Representatives,111,CA,2009,2011,35.0
W000187,House of Representatives,112,CA,2011,2013,35.0
W000187,House of Representatives,113,CA,2013,2015,43.0
W000187,House of Representatives,114,CA,2015,2017,43.0
W000187,House of Representatives,115,CA,2017,2019,43.0
W000187,House of Representatives,116,CA,2019,2021,43.0
W000187,House of Representatives,117,CA,2021,2023,43.0
W000187,House of Representatives,118,CA,2023,2025,43.0
W000187,House of Representatives,119,CA,2025,2027,43.0
C000059,House of Representatives,103,CA,1993,1995,43.0
C000059,House of Representatives,104,CA,1995,1997,43.0
C000059,House of Representatives,105,CA,1997,1999,43.0
C000059,House of Representatives,106,CA,1999,2001,43.0
C000059,House of Representatives,107,CA,2001,2003,43.0
C000059,House of Representatives,108,CA,2003,2005,44.0
C000059,House of Representatives,109,CA,2005,2007,44.0
C000059,House of Representatives,110,CA,2007,2009,44.0
C000059,House of Representatives,111,CA,2009,2011,44.0
C000059,House of Representatives,112,CA,2011,2013,44.0
C000059,House of Representatives,113,CA,2013,2015,42.0
C000059,House of Representatives,114,CA,2015,2017,42.0
C000059,House of Representatives,115,CA,2017,2019,42.0
C000059,House of Representatives,116,CA,2019,2021,42.0
C000059,House of Representatives,117,CA,2021,2023,42.0
C000059,House of Representatives,118,CA,2023,2025,41.0
C000059,House of Representatives,119,CA,2025,2027,41.0
L000397,House of Representatives,104,CA,1995,1997,16.0
L000397,House of Representatives,105,CA,1997,1999,16.0
L000397,House of Representatives,106,CA,1999,2001,16.0
L000397,House of Representatives,107,CA,2001,2003,16.0
L000397,House of Representatives,108,CA,2003,2005,16.0
L000397,House of Representatives,109,CA,2005,2007,16.0
L000397,House of Representatives,110,CA,2007,2009,16.0
L000397,House of Representatives,111,CA,2009,2011,16.0
L000397,House of Representatives,112,CA,2011,2013,16.0
L000397,House of Representatives,113,CA,2013,2015,19.0
L000397,House of Representatives,114,CA,2015,2017,19.0
L000397,House of Representatives,115,CA,2017,2019,19.0
L000397,House of Representatives,116,CA,2019,2021,19.0
L000397,House of Representatives,117,CA,2021,2023,19.0
L000397,House of Representatives,118,CA,2023,2025,18.0
L000397,House of Representatives,119,CA,2025,2027,18.0
S000344,House of Representatives,105,CA,1997,1999,24.0
S000344,House of Representatives,106,CA,1999,2001,24.0
S000344,House of Representatives,107,CA,2001,2003,24.0
S000344,House of Representatives,108,CA,2003,2005,27.0
S000344,House of Representatives,109,CA,2005,2007,27.0
S000344,House of Representatives,110,CA,2007,2009,27.0
S000344,House of Representatives,111,CA,2009,2011,27.0
S000344,House of Representatives,112,CA,2011,2013,27.0
S000344,House of Representatives,113,CA,2013,2015,30.0
S000344,House of Representatives,114,CA,2015,2017,30.0
S000344,House of Representatives,115,CA,2017,2019,30.0
S000344,House of Representatives,116,CA,2019,2021,30.0
S000344,House of Representatives,117,CA,2021,2023,30.0
S000344,House of Representatives,118,CA,2023,2025,32.0
S000344,House of Representatives,119,CA,2025,2027,32.0
T000460,House of Representatives,106,CA,1999,2001,1.0
T000460,House of Representatives,107,CA,2001,2003,1.0
T000460,House of Representatives,108,CA,2003,2005,1.0
T000460,House of Representatives,109,CA,2005,2007,1.0
T000460,House of Representatives,110,CA,2007,2009,1.0
T000460,House of Representatives,111,CA,2009,2011,1.0
T000460,House of Representatives,112,CA,2011,2013,1.0
T000460,House of Representatives,113,CA,2013,2015,5.0
T000460,House of Representatives,114,CA,2015,2017,5.0
T000460,House of Representatives,115,CA,2017,2019,5.0
T000460,House of Representatives,116,CA,2019,2021,5.0
T000460,House of Representatives,117,CA,2021,2023,5.0
T000460,House of Representatives,118,CA,2023,2025,4.0
T000460,House of Representatives,119,CA,2025,2027,4.0
C001121,House of Representatives,116,CO,2019,2021,6.0
C001121,House of Representatives,117,CO,2021,2023,6.0
C001121,House of Representatives,118,CO,2023,2025,6.0
C001121,House of Representatives,119,CO,2025,2027,6.0
N000191,House of Representatives,116,CO,2019,2021,2.0
N000191,House of Representatives,117,CO,2021,2023,2.0
N000191,House of Representatives,118,CO,2023,2025,2.0
N000191,House of Representatives,119,CO,2025,2027,2.0
B000825,House of Representatives,117,CO,2021,2023,3.0
B000825,House of Representatives,118,CO,2023,2025,3.0
B000825,House of Representatives,119,CO,2025,2027,4.0
P000620,House of Representatives,118,CO,2023,2025,7.0
P000620,House of Representatives,119,CO,2025,2027,7.0
C001137,House of Representatives,119,CO,2025,2027,5.0
E000300,House of Representatives,119,CO,2025,2027,8.0
H001100,House of Representatives,119,CO,2025,2027,3.0
D000197,House of Representatives,105,CO,1997,1999,1.0
D000197,House of Representatives,106,CO,1999,2001,1.0
D000197,House of Representatives,107,CO,2001,2003,1.0
D000197,House of Representatives,108,CO,2003,2005,1.0
D000197,House of Representatives,109,CO,2005,2007,1.0
D000197,House of Representatives,110,CO,2007,2009,1.0
D000197,House of Representatives,111,CO,2009,2011,1.0
D000197,House of Representatives,112,CO,2011,2013,1.0
D000197,House of Representatives,113,CO,2013,2015,1.0
D000197,House of Representatives,114,CO,2015,2017,1.0
D000197,House of Representatives,115,CO,2017,2019,1.0
D000197,House of Representatives,116,CO,2019,2021,1.0
D000197,House of Representatives,117,CO,2021,2023,1.0
D000197,House of Representatives,118,CO,2023,2025,1.0
D000197,House of Representatives,119,CO,2025,2027,1.0
C001069,House of Representatives,110,CT,2007,2009,2.0
C001069,House of Representatives,111,CT,2009,2011,2.0
C001069,House of Representatives,112,CT,2011,2013,2.0
C001069,House of Representatives,113,CT,2013,2015,2.0
C001069,House of Representatives,114,CT,2015,2017,2.0
C001069,House of Representatives,115,CT,2017,2019,2.0
C001069,House of Representatives,116,CT,2019,2021,2.0
C001069,House of Representatives,117,CT,2021,2023,2.0
C001069,House of Representatives,118,CT,2023,2025,2.0
C001069,House of Representatives,119,CT,2025,2027,2.0
H001047,House of Representatives,111,CT,2009,2011,4.0
H001047,House of Representatives,112,CT,2011,2013,4.0
H001047,House of Representatives,113,CT,2013,2015,4.0
H001047,House of Representatives,114,CT,2015,2017,4.0
H001047,House of Representatives,115,CT,2017,2019,4.0
H001047,House of Representatives,116,CT,2019,2021,4.0
H001047,House of Representatives,117,CT,2021,2023,4.0
H001047,House of Representatives,118,CT,2023,2025,4.0
H001047,House of Representatives,119,CT,2025,2027,4.0
H001081,House of Representatives,116,CT,2019,2021,5.0
H001081,House of Representatives,117,CT,2021,2023,5.0
H001081,House of Representatives,118,CT,2023,2025,5.0
H001081,House of Representatives,119,CT,2025,2027,5.0
D000216,House of Representatives,102,CT,1991,1993,3.0
D000216,House of Representatives,103,CT,1993,1995,3.0
D000216,House of Representatives,104,CT,1995,1997,3.0
D000216,House of Representatives,105,CT,1997,1999,3.0
D000216,House of Representatives,106,CT,1999,2001,3.0
D000216,House of Representatives,107,CT,2001,2003,3.0
D000216,House of Representatives,108,CT,2003,2005,3.0
D000216,House of Representatives,109,CT,2005,2007,3.0
D000216,House of Representatives,110,CT,2007,2009,3.0
D000216,House of Representatives,111,CT,2009,2011,3.0
D000216,House of Representatives,112,CT,2011,2013,3.0
D000216,House of Representatives,113,CT,2013,2015,3.0
D000216,House of Representatives,114,CT,2015,2017,3.0
D000216,House of Representatives,115,CT,2017,2019,3.0
D000216,House of Representatives,116,CT,2019,2021,3.0
D000216,House of Representatives,117,CT,2021,2023,3.0
D000216,House of Representatives,118,CT,2023,2025,3.0
D000216,House of Representatives,119,CT,2025,2027,3.0
L000557,House of Representatives,106,CT,1999,2001,1.0
L000557,House of Representatives,107,CT,2001,2003,1.0
L000557,House of Representatives,108,CT,2003,2005,1.0
L000557,House of Representatives,109,CT,2005,2007,1.0
L000557,House of Representatives,110,CT,2007,2009,1.0
