bioguide_id,Full name,Chamber,State,Party,District,birthYear,image,Office address,Phone,Website
L000593,Mike Levin,House of Representatives,California,Democratic,49.0,1978,https://www.congress.gov/img/member/l000593_200.jpg,"2352 Rayburn House Office Building, Washington, DC 20515",(202) 225-3906,https://levin.house.gov/
J000305,Sara Jacobs,House of Representatives,California,Democratic,51.0,1989,https://www.congress.gov/img/member/j000305_200.jpg,"2348 Rayburn House Office Building, Washington, DC 20515",(202) 225-2040,https://sarajacobs.house.gov
K000397,Young Kim,House of Representatives,California,Republican,40.0,1962,https://www.congress.gov/img/member/k000397_200.jpg,"2439 Rayburn House Office Building, Washington, DC 20515",(202) 225-4111,https://youngkim.house.gov
O000019,Jay Obernolte,House of Representatives,California,Republican,23.0,1970,https://www.congress.gov/img/member/o000019_200.jpg,"2433 Rayburn House Office Building, Washington, DC 20515",(202) 225-5861,https://obernolte.house.gov
G000598,Robert Garcia,House of Representatives,California,Democratic,42.0,1977,https://www.congress.gov/img/member/g000598_200.jpg,"109 Cannon House Office Building, Washington, DC 20515",(202) 225-7924,https://robertgarcia.house.gov
K000400,Sydney Kamlager-Dove,House of Representatives,California,Democratic,37.0,1972,https://www.congress.gov/img/member/k000400_200.jpg,"144 Cannon House Office Building, Washington, DC 20515",(202) 225-7084,https://kamlager-dove.house.gov
K000401,Kevin Kiley,House of Representatives,California,Republican,3.0,1985,https://www.congress.gov/img/member/k000401_200.jpg,"2445 Rayburn House Office Building, Washington, DC 20515",(202) 225-2523,https://kiley.house.gov
M001225,Kevin Mullin,House of Representatives,California,Democratic,15.0,1970,https://www.congress.gov/img/member/m001225_200.jpg,"1404 Longworth House Office Building, Washington, DC 20515",(202) 225-3531,https://kevinmullin.house.gov
F000480,Vince Fong,House of Representatives,California,Republican,20.0,1979,https://www.congress.gov/img/member/669ff04f5d19788d1f2034aa_200.jpg,"243 Cannon House Office Building, Washington, DC 20515",(202) 225-2915,https://fong.house.gov/
F000483,Laura Friedman,House of Representatives,California,Democratic,30.0,1966,https://www.congress.gov/img/member/677427070b34857ecc9090a1_200.jpg,"1517 Longworth House Office Building, Washington, DC 20515",(202) 225-4176,https://friedman.house.gov/
G000605,Adam Gray,House of Representatives,California,Democratic,13.0,1977,https://www.congress.gov/img/member/67742a160b34857ecc9090bf_200.jpg,"1230 Longworth House Office Building, Washington, DC 20515",(202) 225-1947,https://gray.house.gov/
L000607,Sam T. Liccardo,House of Representatives,California,Democratic,16.0,1970,https://www.congress.gov/img/member/6774305d0b34857ecc90910d_200.jpg,"1117 Longworth House Office Building, Washington, DC 20515",(202) 225-8104,https://liccardo.house.gov/
M001241,Dave Min,House of Representatives,California,Democratic,47.0,1976,https://www.congress.gov/img/member/67744ed90b34857ecc909155_200.jpg,"1034 Longworth House Office Building, Washington, DC 20515",(202) 225-5611,https://min.house.gov/
R000620,Luz M. Rivas,House of Representatives,California,Democratic,29.0,1974,https://www.congress.gov/img/member/67745d860b34857ecc90916d_200.jpg,"1319 Longworth House Office Building, Washington, DC 20515",(202) 225-6131,https://rivas.house.gov/
S001231,Lateefah Simon,House of Representatives,California,Democratic,12.0,1977,https://www.congress.gov/img/member/67745f940b34857ecc909197_200.jpg,"1023 Longworth House Office Building, Washington, DC 20515",(202) 225-2661,https://simon.house.gov/
T000491,Derek Tran,House of Representatives,California,Democratic,45.0,1982,https://www.congress.gov/img/member/6774606d0b34857ecc9091a9_200.jpg,"1127 Longworth House Office Building, Washington, DC 20515",(202) 225-2415,https://tran.house.gov/
W000830,George Whitesides,House of Representatives,California,Democratic,27.0,1974,https://www.congress.gov/img/member/68dc43db199559bad714973d_200.jpg,"1504 Longworth House Office Building, Washington, DC 20515",(202) 225-1956,https://whitesides.house.gov/
W000187,Maxine Waters,House of Representatives,California,Democratic,43.0,1938,https://www.congress.gov/img/member/w000187_200.jpg,"2221 Rayburn House Office Building, Washington, DC 20515",(202) 225-2201,https://waters.house.gov
C000059,Ken Calvert,House of Representatives,California,Republican,41.0,1953,https://www.congress.gov/img/member/c000059_200.jpg,"2205 Rayburn House Office Building, Washington, DC 20515",(202) 225-1986,https://calvert.house.gov/
L000397,Zoe Lofgren,House of Representatives,California,Democratic,18.0,1947,https://www.congress.gov/img/member/671024d7ec807bca66057fcb_200.jpg,"1401 Longworth House Office Building, Washington, DC 20515",(202) 225-3072,https://lofgren.house.gov/
S000344,Brad Sherman,House of Representatives,California,Democratic,32.0,1954,https://www.congress.gov/img/member/s000344_200.jpg,"2365 Rayburn House Office Building, Washington, DC 20515",(202) 225-5911,https://sherman.house.gov
T000460,Mike Thompson,House of Representatives,California,Democratic,4.0,1951,https://www.congress.gov/img/member/116_rp_ca_5_thompson_mike_200.jpg,"268 Cannon House Office Building, Washington, DC 20515",(202) 225-3311,https://mikethompson.house.gov/
C001121,Jason Crow,House of Representatives,Colorado,Democratic,6.0,1979,https://www.congress.gov/img/member/c001121_200.jpg,"1323 Longworth House Office Building, Washington, DC 20515",(202) 225-7882,https://crow.house.gov/
N000191,Joe Neguse,House of Representatives,Colorado,Democratic,2.0,1984,https://www.congress.gov/img/member/n000191_200.jpg,"2400 Rayburn House Office Building, Washington, DC 20515",(202) 225-2161,https://neguse.house.gov/
B000825,Lauren Boebert,House of Representatives,Colorado,Republican,4.0,1986,https://www.congress.gov/img/member/b000825_200.jpg,"1713 Longworth House Office Building, Washington, DC 20515",(202) 225-4761,https://boebert.house.gov
P000620,Brittany Pettersen,House of Representatives,Colorado,Democratic,7.0,1981,https://www.congress.gov/img/member/p000620_200.jpg,"348 Cannon House Office Building, Washington, DC 20515",(202) 225-2645,https://pettersen.house.gov
C001137,Jeff Crank,House of Representatives,Colorado,Republican,5.0,1967,https://www.congress.gov/img/member/677424810b34857ecc909071_200.jpg,"1029 Longworth House Office Building, Washington, DC 20515",(202) 225-4422,https://crank.house.gov/
E000300,Gabe Evans,House of Representatives,Colorado,Republican,8.0,1986,https://www.congress.gov/img/member/677425730b34857ecc909083_200.jpg,"1229 Longworth House Office Building, Washington, DC 20515",(202) 225-5625,https://gabeevans.house.gov/
H001100,Jeff Hurd,House of Representatives,Colorado,Republican,3.0,1979,https://www.congress.gov/img/member/67742c5e0b34857ecc9090d1_200.jpg,"1641 Longworth House Office Building, Washington, DC 20515",(202) 225-4676,https://hurd.house.gov/
D000197,Diana DeGette,House of Representatives,Colorado,Democratic,1.0,1957,https://www.congress.gov/img/member/116_rp_co_1_degette_diana_200.jpg,"2111 Rayburn House Office Building, Washington, DC 20515",(202) 225-4431,https://degette.house.gov
C001069,Joe Courtney,House of Representatives,Connecticut,Democratic,2.0,1953,https://www.congress.gov/img/member/c001069_200.jpg,"2449 Rayburn House Office Building, Washington, DC 20515",(202) 225-2076,https://courtney.house.gov/
H001047,James A. Himes,House of Representatives,Connecticut,Democratic,4.0,1966,https://www.congress.gov/img/member/h001047_200.jpg,"2137 Rayburn House Office Building, Washington, DC 20515",(202) 225-5541,https://himes.house.gov/
H001081,Jahana Hayes,House of Representatives,Connecticut,Democratic,5.0,1973,https://www.congress.gov/img/member/h001081_200.jpg,"2049 Rayburn House Office Building, Washington, DC 20515",(202) 225-4476,https://hayes.house.gov
D000216,Rosa L. DeLauro,House of Representatives,Connecticut,Democratic,3.0,1943,https://www.congress.gov/img/member/116_rp_ct_3_delauro_rosa_200.jpg,"2413 Rayburn House Office Building, Washington, DC 20515",(202) 225-3661,https://delauro.house.gov/
L000557,John B. Larson,House of Representatives,Connecticut,Democratic,1.0,1948,https://www.congress.gov/img/member/l000557_200.jpg,"1501 Longworth House Office Building, Washington, DC 20515",(202) 225-2265,https://larson.house.gov/
M001238,Sarah McBride,House of Representatives,Delaware,Democratic,,1990,https://www.congress.gov/img/member/67744b460b34857ecc909143_200.jpg,"1306 Longworth House Office Building, Washington, DC 20515",(202) 225-4165,https://mcbride.house.gov/
N000147,Eleanor Holmes Norton,House of Representatives,District of Columbia,Democratic,,1937,https://www.congress.gov/img/member/116_dg_dc_norton_eleanor_200.jpg,"2136 Rayburn House Office Building, Washington, DC 20510",(202) 225-8050,https://norton.house.gov/
D000600,Mario Diaz-Balart,House of Representatives,Florida,Republican,26.0,1961,https://www.congress.gov/img/member/116_rp_fl_25_diazbalart_mario_200.jpg,"374 Cannon House Office Building, Washington, DC 20515",(202) 225-4211,https://mariodiazbalart.house.gov/
W000797,Debbie Wasserman Schultz,House of Representatives,Florida,Democratic,25.0,1966,https://www.congress.gov/img/member/116_rp_fl_23_wassermanschultz_debbie_200.jpg,"270 Cannon House Office Building, Washington, DC 20515",(202) 225-7931,https://wassermanschultz.house.gov/
C001066,Kathy Castor,House of Representatives,Florida,Democratic,14.0,1966,https://www.congress.gov/img/member/c001066_200.jpg,"2188 Rayburn House Office Building, Washington, DC 20515",(202) 225-3376,https://castor.house.gov/
B001260,Vern Buchanan,House of Representatives,Florida,Republican,16.0,1951,https://www.congress.gov/img/member/b001260_200.jpg,"2409 Rayburn House Office Building, Washington, DC 20515",(202) 225-5015,https://buchanan.house.gov/
B001257,Gus M. Bilirakis,House of Representatives,Florida,Republican,12.0,1963,https://www.congress.gov/img/member/117_rp_fl_12_bilirakis_gus_200.jpg,"2306 Rayburn House Office Building, Washington, DC 20515",(202) 225-5755,https://bilirakis.house.gov/
W000806,Daniel Webster,House of Representatives,Florida,Republican,11.0,1949,https://www.congress.gov/img/member/w000806_200.jpg,"2184 Rayburn House Office Building, Washington, DC 20515",(202) 225-1002,https://webster.house.gov/
W000808,Frederica S. Wilson,House of Representatives,Florida,Democratic,24.0,1942,https://www.congress.gov/img/member/w000808_200.jpg,"2080 Rayburn House Office Building, Washington, DC 20515",(202) 225-4506,https://wilson.house.gov/
F000462,Lois Frankel,House of Representatives,Florida,Democratic,22.0,1948,https://www.congress.gov/img/member/f000462_200.jpg,"2305 Rayburn House Office Building, Washington, DC 20515",(202) 225-9890,https://frankel.house.gov
D000628,Neal P. Dunn,House of Representatives,Florida,Republican,2.0,1953,https://www.congress.gov/img/member/115_rp_fl_2_dunn_neal_200.jpg,"466 Cannon House Office Building, Washington, DC 20515",(202) 225-5235,https://dunn.house.gov
M001199,Brian J. Mast,House of Representatives,Florida,Republican,21.0,1980,https://www.congress.gov/img/member/116_rp_fl_18_mast_brian_200.jpg,"2182 Rayburn House Office Building, Washington, DC 20515",(202) 225-3026,https://mast.house.gov
R000609,John H. Rutherford,House of Representatives,Florida,Republican,5.0,1952,https://www.congress.gov/img/member/r000609_200.jpg,"1711 Longworth House Office Building, Washington, DC 20515",(202) 225-2501,https://rutherford.house.gov
S001200,Darren Soto,House of Representatives,Florida,Democratic,9.0,1978,https://www.congress.gov/img/member/115_rp_fl_9_soto_darren_200.jpg,"2353 Rayburn House Office Building, Washington, DC 20515",(202) 225-9889,https://soto.house.gov
S001214,W. Gregory Steube,House of Representatives,Florida,Republican,17.0,1978,https://www.congress.gov/img/member/s001214_200.jpg,"2457 Rayburn House Office Building, Washington, DC 20515",(202) 225-5792,https://steube.house.gov/
W000823,Michael Waltz,House of Representatives,Florida,Republican,6.0,1974,https://www.congress.gov/img/member/w000823_200.jpg,,,
C001039,Kat Cammack,House of Representatives,Florida,Republican,3.0,1988,https://www.congress.gov/img/member/c001039_200.jpg,"2421 Rayburn House Office Building, Washington, DC 20515",(202) 225-5744,https://cammack.house.gov
D000032,Byron Donalds,House of Representatives,Florida,Republican,19.0,1978,https://www.congress.gov/img/member/d000032_200.jpg,"1710 Longworth House Office Building, Washington, DC 20515",(202) 225-2536,https://donalds.house.gov
F000472,Scott Franklin,House of Representatives,Florida,Republican,18.0,1964,https://www.congress.gov/img/member/f000472_200.jpg,"2301 Rayburn House Office Building, Washington, DC 20515",(202) 225-1252,https://franklin.house.gov
G000593,Carlos A. Gimenez,House of Representatives,Florida,Republican,28.0,1954,https://www.congress.gov/img/member/g000593_200.jpg,"448 Cannon House Office Building, Washington, DC 20515",(202) 225-2778,https://gimenez.house.gov
S000168,Maria Elvira Salazar,House of Representatives,Florida,Republican,27.0,1961,https://www.congress.gov/img/member/s000168_200.jpg,"2162 Rayburn House Office Building, Washington, DC 20515",(202) 225-3931,https://salazar.house.gov
C001127,Sheila Cherfilus-McCormick,House of Representatives,Florida,Democratic,20.0,1979,https://www.congress.gov/img/member/c001127_200.jpg,"2442 Rayburn House Office Building, Washington, DC 20515",(202) 225-1313,https://cherfilus-mccormick.house.gov/
B001314,Aaron Bean,House of Representatives,Florida,Republican,4.0,1967,https://www.congress.gov/img/member/b001314_200.jpg,"2459 Rayburn House Office Building, Washington, DC 20515",(202) 225-0123,https://bean.house.gov
F000476,Maxwell Frost,House of Representatives,Florida,Democratic,10.0,1997,https://www.congress.gov/img/member/f000476_200.jpg,"1224 Longworth House Office Building, Washington, DC 20515",(202) 225-2176,https://frost.house.gov
L000597,Laurel M. Lee,House of Representatives,Florida,Republican,15.0,1974,https://www.congress.gov/img/member/l000597_200.jpg,"2464 Rayburn House Office Building, Washington, DC 20515",(202) 225-5626,https://laurellee.house.gov
L000596,Anna Paulina Luna,House of Representatives,Florida,Republican,13.0,1989,https://www.congress.gov/img/member/l000596_200.jpg,"226 Cannon House Office Building, Washington, DC 20515",(202) 225-5961,https://luna.house.gov
M001216,Cory Mills,House of Representatives,Florida,Republican,7.0,1980,https://www.congress.gov/img/member/m001216_200.jpg,"346 Cannon House Office Building, Washington, DC 20515",(202) 225-4035,https://mills.house.gov
M001217,Jared Moskowitz,House of Representatives,Florida,Democratic,23.0,1980,https://www.congress.gov/img/member/m001217_200.jpg,"242 Cannon House Office Building, Washington, DC 20515",(202) 225-3001,https://moskowitz.house.gov
H001099,Mike Haridopolos,House of Representatives,Florida,Republican,8.0,1970,https://www.congress.gov/img/member/67742ab50b34857ecc9090cb_200.jpg,"1039 Longworth House Office Building, Washington, DC 20515",(202) 225-3671,https://haridopolos.house.gov/
F000484,Randy Fine,House of Representatives,Florida,Republican,6.0,1974,https://www.congress.gov/img/member/67efda8c1b05a5a598f7fde0_200.jpg,"244 Cannon House Office Building, Washington, DC 20515",(202) 225-2706,https://fine.house.gov/
P000622,Jimmy Patronis,House of Representatives,Florida,Republican,1.0,1972,https://www.congress.gov/img/member/67efdb991b05a5a598f7fde9_200.jpg,"2021 Rayburn House Office Building, Washington, DC 20515",(202) 225-4136,https://patronis.house.gov/
S001157,David Scott,House of Representatives,Georgia,Democratic,13.0,1945,https://www.congress.gov/img/member/116_rp_ga_13_scott_david_200.jpg,"468 Cannon House Office Building, Washington, DC 20515",(202) 225-2939,https://davidscott.house.gov/
J000288,"Henry C. ""Hank"" Johnson, Jr.",House of Representatives,Georgia,Democratic,4.0,1954,https://www.congress.gov/img/member/j000288_200.jpg,"2240 Rayburn House Office Building, Washington, DC 20515",(202) 225-1605,https://hankjohnson.house.gov/
S001189,Austin Scott,House of Representatives,Georgia,Republican,8.0,1969,https://www.congress.gov/img/member/s001189_200.jpg,"2185 Rayburn House Office Building, Washington, DC 20515",(202) 225-6531,https://austinscott.house.gov/
C001103,"Earl L. ""Buddy"" Carter",House of Representatives,Georgia,Republican,1.0,1957,https://www.congress.gov/img/member/c001103_200.jpg,"2432 Rayburn House Office Building, Washington, DC 20515",(202) 225-5831,https://buddycarter.house.gov/
L000583,Barry Loudermilk,House of Representatives,Georgia,Republican,11.0,1963,https://www.congress.gov/img/member/115_rp_ga_11_loudermilk_barry_200.jpg,"2133 Rayburn House Office Building, Washington, DC 20515",(202) 225-2931,https://loudermilk.house.gov
A000372,Rick W. Allen,House of Representatives,Georgia,Republican,12.0,1951,https://www.congress.gov/img/member/a000372_200.jpg,"462 Cannon House Office Building, Washington, DC 20515",(202) 225-2823,https://allen.house.gov
M001208,Lucy McBath,House of Representatives,Georgia,Democratic,6.0,1960,https://www.congress.gov/img/member/m001208_200.jpg,"2246 Rayburn House Office Building, Washington, DC 20515",(202) 225-4501,https://mcbath.house.gov
C001116,Andrew S. Clyde,House of Representatives,Georgia,Republican,9.0,1963,https://www.congress.gov/img/member/c001116_200.jpg,"445 Cannon House Office Building, Washington, DC 20515",(202) 225-9893,https://clyde.house.gov
G000596,Marjorie Taylor Greene,House of Representatives,Georgia,Republican,14.0,1974,https://www.congress.gov/img/member/g000596_200.jpg,"2201 Rayburn House Office Building, Washington, DC 20515",(202) 225-5211,https://greene.house.gov
W000788,Nikema Williams,House of Representatives,Georgia,Democratic,5.0,1978,https://www.congress.gov/img/member/w000788_200.jpg,"1406 Longworth House Office Building, Washington, DC 20515",(202) 225-3801,https://nikemawilliams.house.gov
