bioname,chamber,left_right_ideology,party_code,state_abbrev,district_code,icpsr,bioguide_id,party
"SIMON, Lateefah",House,-0.937,100,CA,12,22553,S001231,Democrat
"TRAN, Derek",House,-0.238,100,CA,45,22556,T000491,Democrat
"WHITESIDES, George",House,-0.189,100,CA,27,22559,W000830,Democrat
"WATERS, Maxine",House,-0.656,100,CA,43,29106,W000187,Democrat
"CALVERT, Ken",House,0.339,200,CA,41,29323,C000059,Republican
"LOFGREN, Zoe",House,-0.397,100,CA,18,29504,L000397,Democrat
"SHERMAN, Brad",House,-0.344,100,CA,32,29707,S000344,Democrat
"THOMPSON, Michael",House,-0.392,100,CA,4,29901,T000460,Democrat
"CROW, Jason",House,-0.356,100,CO,6,21912,C001121,Democrat
"NEGUSE, Joseph",House,-0.426,100,CO,2,21948,N000191,Democrat
"BOEBERT, Lauren",House,0.738,200,CO,4,22103,B000825,Republican
"PETTERSEN, Brittany",House,-0.367,100,CO,7,22359,P000620,Democrat
"CRANK, Jeff",House,0.628,200,CO,5,22509,C001137,Republican
"EVANS, Gabe",House,0.394,200,CO,8,22513,E000300,Republican
"HURD, Jeff",House,0.332,200,CO,3,22526,H001100,Republican
"DeGETTE, Diana",House,-0.431,100,CO,1,29710,D000197,Democrat
"COURTNEY, Joe",House,-0.337,100,CT,2,20706,C001069,Democrat
"HIMES, James A.",House,-0.241,100,CT,4,20907,H001047,Democrat
"HAYES, Jahana",House,-0.332,100,CT,5,21931,H001081,Democrat
"DeLAURO, Rosa L.",House,-0.414,100,CT,3,29109,D000216,Democrat
"LARSON, John B.",House,-0.396,100,CT,1,29908,L000557,Democrat
"MCBRIDE, Sarah",House,-0.254,100,DE,1,22535,M001238,Democrat
"NORTON, Eleanor Holmes",House,-0.491,100,DC,0,21993,N000147,Democrat
"DIAZ-BALART, Mario",House,0.281,200,FL,26,20316,D000600,Republican
"WASSERMAN SCHULTZ, Debbie",House,-0.414,100,FL,25,20504,W000797,Democrat
"CASTOR, Kathy",House,-0.438,100,FL,14,20708,C001066,Democrat
"BUCHANAN, Vernon G.",House,0.361,200,FL,16,20709,B001260,Republican
"BILIRAKIS, Gus",House,0.423,200,FL,12,20758,B001257,Republican
"WEBSTER, Daniel A.",House,0.524,200,FL,11,21116,W000806,Republican
"WILSON, Frederica",House,-0.477,100,FL,24,21118,W000808,Democrat
"FRANKEL, Lois",House,-0.396,100,FL,22,21321,F000462,Democrat
"DUNN, Neal Patrick",House,0.509,200,FL,2,21714,D000628,Republican
"MAST, Brian Jeffery",House,0.461,200,FL,21,21735,M001199,Republican
"RUTHERFORD, John Henry",House,0.433,200,FL,5,21744,R000609,Republican
"SOTO, Darren Michael",House,-0.347,100,FL,9,21746,S001200,Democrat
"STEUBE, William",House,0.693,200,FL,17,21971,S001214,Republican
"WALTZ, Michael",House,0.452,200,FL,6,21981,W000823,Republican
"CAMMACK, Kat",House,0.592,200,FL,3,22107,C001039,Republican
"DONALDS, Byron",House,0.646,200,FL,19,22111,D000032,Republican
"FRANKLIN, C. Scott",House,0.624,200,FL,18,22116,F000472,Republican
"GIMENEZ, Carlos A.",House,0.332,200,FL,28,22118,G000593,Republican
"SALAZAR, Maria Elvira",House,0.276,200,FL,27,22150,S000168,Republican
"CHERFILUS-MCCORMICK, Sheila",House,-0.439,100,FL,20,22163,C001127,Democrat
"BEAN, Aaron",House,0.679,200,FL,4,22302,B001314,Republican
"FROST, Maxwell",House,-0.441,100,FL,10,22321,F000476,Democrat
"LEE, Laurel",House,0.41,200,FL,15,22341,L000597,Republican
"LUNA, Anna",House,0.567,200,FL,13,22343,L000596,Republican
"MILLS, Cory",House,0.602,200,FL,7,22350,M001216,Republican
"MOSKOWITZ, Jared",House,-0.232,100,FL,23,22353,M001217,Democrat
"HARIDOPOLOS, Mike",House,0.38,200,FL,8,22523,H001099,Republican
"FINE, Randy",House,0.834,200,FL,6,22562,F000484,Republican
"PATRONIS, Jimmy",House,0.825,200,FL,1,22563,P000622,Republican
"SCOTT, David",House,-0.304,100,GA,13,20321,S001157,Democrat
"JOHNSON, Hank",House,-0.478,100,GA,4,20712,J000288,Democrat
"SCOTT, Austin",House,0.539,200,GA,8,21123,S001189,Republican
"CARTER, Buddy",House,0.558,200,GA,1,21513,C001103,Republican
"LOUDERMILK, Barry D.",House,0.679,200,GA,11,21515,L000583,Republican
"ALLEN, Rick W.",House,0.69,200,GA,12,21516,A000372,Republican
"McBATH, Lucy",House,-0.363,100,GA,6,21944,M001208,Democrat
"CLYDE, Andrew S.",House,0.824,200,GA,9,22110,C001116,Republican
"GREENE, Marjorie Taylor",House,0.8,200,GA,14,22121,G000596,Republican
"WILLIAMS, Nikema",House,-0.445,100,GA,5,22156,W000788,Democrat
"COLLINS, Mike",House,0.677,200,GA,10,22310,C001129,Republican
"MCCORMICK, Rich",House,0.891,200,GA,7,22346,M001218,Republican
"JACK, Brian",House,0.535,200,GA,3,22527,J000311,Republican
"BISHOP, Sanford Dixon, Jr.",House,-0.288,100,GA,2,29339,B000490,Democrat
"MOYLAN, James",House,0.39,200,GU,0,22373,M001219,Republican
"CASE, Ed",House,-0.205,100,HI,1,20322,C001055,Democrat
"TOKUDA, Jill",House,-0.471,100,HI,2,22369,T000487,Democrat
"FULCHER, Russell",House,0.648,200,ID,1,21920,F000469,Republican
"SIMPSON, Michael K.",House,0.296,200,ID,2,29910,S001148,Republican
"FOSTER, Bill",House,-0.238,100,IL,11,20749,F000454,Democrat
"QUIGLEY, Mike",House,-0.326,100,IL,5,20954,Q000023,Democrat
"SCHNEIDER, Brad",House,-0.195,100,IL,10,21326,S001190,Democrat
"KELLY, Robin L.",House,-0.473,100,IL,2,21371,K000385,Democrat
"BOST, Mike",House,0.402,200,IL,12,21519,B001295,Republican
"LaHOOD, Darin",House,0.462,200,IL,16,21562,L000585,Republican
"KRISHNAMOORTHI, S. Raja",House,-0.347,100,IL,8,21730,K000391,Democrat
"CASTEN, Sean",House,-0.637,100,IL,6,21906,C001117,Democrat
"GARCÍA, Jesús",House,-0.434,100,IL,4,21921,G000586,Democrat
"UNDERWOOD, Lauren",House,-0.598,100,IL,14,21979,U000040,Democrat
"MILLER, Mary E.",House,0.786,200,IL,15,22138,M001211,Republican
"BUDZINSKI, Nikki",House,-0.332,100,IL,13,22304,B001315,Democrat
"JACKSON, Jonathan",House,-0.335,100,IL,1,22330,J000309,Democrat
"RAMIREZ, Delia",House,-0.496,100,IL,3,22360,R000617,Democrat
"SORENSEN, Eric",House,-0.246,100,IL,17,22365,S001225,Democrat
"DAVIS, Danny K.",House,-0.487,100,IL,7,29717,D000096,Democrat
"SCHAKOWSKY, Janice D.",House,-0.602,100,IL,9,29911,S001145,Democrat
"CARSON, André",House,-0.436,100,IN,7,20757,C001072,Democrat
"STUTZMAN, Marlin",House,0.722,200,IN,3,21100,S001188,Republican
"BAIRD, James",House,0.445,200,IN,4,21903,B001307,Republican
"MRVAN, Frank J.",House,-0.308,100,IN,1,22142,M001214,Democrat
"SPARTZ, Victoria",House,0.486,200,IN,5,22151,S000929,Republican
"YAKYM, Rudy, III",House,0.513,200,IN,2,22171,Y000067,Republican
"HOUCHIN, Erin",House,0.636,200,IN,9,22326,H001093,Republican
"MESSMER, Mark B.",House,0.537,200,IN,8,22540,M001233,Republican
"SHREVE, Jefferson",House,0.454,200,IN,6,22552,S001229,Republican
"FEENSTRA, Randy",House,0.467,200,IA,4,22113,F000446,Republican
"HINSON, Ashley",House,0.352,200,IA,2,22124,H001091,Republican
"MILLER-MEEKS, Mariannette",House,0.336,200,IA,1,22139,M001215,Republican
"NUNN, Zach",House,0.293,200,IA,3,22356,N000193,Republican
"ESTES, Ron",House,0.648,200,KS,4,21750,E000298,Republican
"DAVIDS, Sharice",House,-0.266,100,KS,3,21914,D000629,Democrat
"MANN, Tracey",House,0.606,200,KS,1,22134,M000871,Republican
"SCHMIDT, Derek",House,0.822,200,KS,2,22551,S001228,Republican
"ROGERS, Harold Dallas (Hal)",House,0.333,200,KY,5,14854,R000395,Republican
"GUTHRIE, Brett",House,0.427,200,KY,2,20916,G000558,Republican
"BARR, Garland H. (Andy) IV",House,0.488,200,KY,6,21333,B001282,Republican
"COMER, James",House,0.592,200,KY,1,21565,C001108,Republican
"MCGARVEY, Morgan",House,-0.5,100,KY,3,22347,M001220,Democrat
"MASSIE, Thomas",House,0.666,200,KY,4,31102,M001184,Republican
"SCALISE, Steve",House,0.559,200,LA,1,20759,S001176,Republican
"HIGGINS, Clay",House,0.625,200,LA,3,21724,H001077,Republican
"JOHNSON, Mike",House,0.565,200,LA,4,21727,J000299,Republican
"LETLOW, Julia",House,0.427,200,LA,5,22157,L000595,Republican
"CARTER, Troy",House,-0.511,100,LA,2,22158,C001125,Democrat
"FIELDS, Cleo",House,-0.456,100,LA,6,29354,F000110,Democrat
"PINGREE, Chellie",House,-0.423,100,ME,1,20920,P000597,Democrat
"GOLDEN, Jared",House,-0.104,100,ME,2,21923,G000592,Democrat
"HOYER, Steny Hamilton",House,-0.381,100,MD,5,14873,H000874,Democrat
"MFUME, Kweisi",House,-0.44,100,MD,7,15433,M000687,Democrat
"HARRIS, Andy",House,0.674,200,MD,1,21139,H001052,Republican
"RASKIN, Jamie Ben",House,-0.506,100,MD,8,21741,R000606,Democrat
"IVEY, Glenn",House,-0.457,100,MD,4,22329,I000058,Democrat
"ELFRETH, Sarah",House,-0.308,100,MD,3,22512,E000301,Democrat
"MCCLAIN DELANEY, April",House,-0.29,100,MD,6,22536,M001232,Democrat
"OLSZEWSKI, Johnny, Jr.",House,-0.298,100,MD,2,22545,O000176,Democrat
"NEAL, Richard Edmund",House,-0.417,100,MA,1,15616,N000015,Democrat
"LYNCH, Stephen F.",House,-0.344,100,MA,8,20119,L000562,Democrat
"KEATING, William R.",House,-0.329,100,MA,9,21140,K000375,Democrat
"CLARK, Katherine M.",House,-0.479,100,MA,5,21375,C001101,Democrat
"MOULTON, Seth",House,-0.287,100,MA,6,21525,M001196,Democrat
"PRESSLEY, Ayanna",House,-0.372,100,MA,7,21955,P000617,Democrat
"TRAHAN, Lori",House,-0.417,100,MA,3,21977,T000482,Democrat
"AUCHINCLOSS, Jake",House,-0.288,100,MA,4,22100,A000148,Democrat
"McGOVERN, James P.",House,-0.538,100,MA,2,29729,M000312,Democrat
"WALBERG, Tim",House,0.499,200,MI,5,20725,W000798,Republican
"HUIZENGA, Bill",House,0.531,200,MI,4,21142,H001058,Republican
"MOOLENAAR, John",House,0.447,200,MI,2,21526,M001194,Republican
"DINGELL, Debbie",House,-0.401,100,MI,6,21529,D000624,Democrat
"BERGMAN, John",House,0.432,200,MI,1,21704,B001301,Republican
"STEVENS, Haley",House,-0.389,100,MI,11,21972,S001215,Democrat
"TLAIB, Rashida",House,-0.29,100,MI,12,21975,T000481,Democrat
"MCCLAIN, Lisa C.",House,0.548,200,MI,9,22136,M001136,Republican
"JAMES, John",House,0.311,200,MI,10,22332,J000307,Republican
"SCHOLTEN, Hillary",House,-0.254,100,MI,3,22363,S001221,Democrat
"THANEDAR, Shri",House,-0.354,100,MI,13,22368,T000488,Democrat
"BARRETT, Tom",House,0.509,200,MI,7,22501,B001321,Republican
"MCDONALD RIVET, Kristen",House,-0.247,100,MI,8,22537,M001237,Democrat
"McCOLLUM, Betty",House,-0.419,100,MN,4,20122,M001143,Democrat
"EMMER, Thomas Earl II",House,0.467,200,MN,6,21531,E000294,Republican
"CRAIG, Angela",House,-0.269,100,MN,2,21910,C001119,Democrat
"OMAR, Ilhan",House,-0.296,100,MN,5,21950,O000173,Democrat
"STAUBER, Peter",House,0.385,200,MN,8,21969,S001212,Republican
"FISCHBACH, Michelle",House,0.538,200,MN,7,22114,F000470,Republican
"FINSTAD, Brad",House,0.547,200,MN,1,22167,F000475,Republican
"MORRISON, Kelly",House,-0.281,100,MN,3,22544,M001234,Democrat
"KELLY, Trent",House,0.637,200,MS,1,21561,K000388,Republican
"GUEST, Michael",House,0.529,200,MS,3,21927,G000591,Republican
"EZELL, Mike",House,0.541,200,MS,4,22319,E000235,Republican
"THOMPSON, Bennie",House,-0.519,100,MS,2,29368,T000193,Democrat
"GRAVES, Samuel",House,0.448,200,MO,6,20124,G000546,Republican
"CLEAVER, Emanuel, II",House,-0.453,100,MO,5,20517,C001061,Democrat
"WAGNER, Ann",House,0.389,200,MO,2,21337,W000812,Republican
"SMITH, Jason",House,0.577,200,MO,8,21373,S001195,Republican
"ALFORD, Mark",House,0.569,200,MO,4,22300,A000379,Republican
"BURLISON, Eric",House,0.737,200,MO,7,22305,B001316,Republican
"BELL, Wesley",House,-0.567,100,MO,1,22504,B001324,Democrat
"ONDER, Robert F., Jr.",House,0.703,200,MO,3,22546,O000177,Republican
"ZINKE, Ryan",House,0.438,200,MT,1,21532,Z000018,Republican
"DOWNING, Troy",House,0.849,200,MT,2,22511,D000634,Republican
"SMITH, Adrian",House,0.51,200,NE,3,20729,S001172,Republican
"BACON, Donald J.",House,0.283,200,NE,2,21701,B001298,Republican
"FLOOD, Mike",House,0.451,200,NE,1,22166,F000474,Republican
"TITUS, Alice (Dina)",House,-0.297,100,NV,1,20927,T000468,Democrat
"AMODEI, Mark E.",House,0.384,200,NV,2,21196,A000369,Republican
"HORSFORD, Steven",House,-0.319,100,NV,4,21339,H001066,Democrat
"LEE, Susie",House,-0.227,100,NV,3,21938,L000590,Democrat
"PAPPAS, Chris",House,-0.239,100,NH,1,21951,P000614,Democrat
"GOODLANDER, Maggie",House,-0.244,100,NH,2,22520,G000604,Democrat
"SMITH, Christopher Henry",House,0.182,200,NJ,4,14863,S000522,Republican
"PALLONE, Frank, Jr.",House,-0.402,100,NJ,6,15454,P000034,Democrat
"NORCROSS, Donald",House,-0.419,100,NJ,1,21536,N000188,Democrat
"WATSON COLEMAN, Bonnie",House,-0.597,100,NJ,12,21538,W000822,Democrat
"GOTTHEIMER, Josh S.",House,-0.163,100,NJ,5,21723,G000583,Democrat
"SHERRILL, Mikie",House,-0.234,100,NJ,11,21964,S001207,Democrat
"KEAN, Thomas",House,0.201,200,NJ,7,22334,K000398,Republican
"MENENDEZ, Robert",House,-0.526,100,NJ,8,22348,M001226,Democrat
"MCIVER, LaMonica",House,-0.617,100,NJ,10,22381,M001229,Democrat
"CONAWAY, Herbert C., Jr.",House,-0.237,100,NJ,3,22508,C001136,Democrat
"POU, Nellie",House,-0.308,100,NJ,9,22547,P000621,Democrat
"VAN DREW, Jefferson",House,0.382,200,NJ,2,91980,V000133,Republican
"LEGER FERNANDEZ, Teresa",House,-0.363,100,NM,3,22131,L000273,Democrat
"STANSBURY, Melanie Ann",House,-0.45,100,NM,1,22159,S001218,Democrat
"VASQUEZ, Gabriel",House,-0.329,100,NM,2,22371,V000136,Democrat
"CLARKE, Yvette Diane",House,-0.607,100,NY,9,20733,C001067,Democrat
"TONKO, Paul",House,-0.416,100,NY,20,20934,T000469,Democrat
"MENG, Grace",House,-0.37,100,NY,6,21342,M001188,Democrat
"JEFFRIES, Hakeem",House,-0.484,100,NY,8,21343,J000294,Democrat
"STEFANIK, Elise M",House,0.306,200,NY,21,21541,S001196,Republican
"ESPAILLAT, Adriano J.",House,-0.531,100,NY,13,21715,E000297,Democrat
"SUOZZI, Thomas",House,-0.214,100,NY,3,21747,S001201,Democrat
"TENNEY, Claudia",House,0.464,200,NY,24,21749,T000478,Republican
"MORELLE, Joseph D.",House,-0.325,100,NY,25,21761,M001206,Democrat
"OCASIO-CORTEZ, Alexandria",House,-0.327,100,NY,14,21949,O000172,Democrat
"GARBARINO, Andrew R.",House,0.245,200,NY,2,22117,G000597,Republican
"MALLIOTAKIS, Nicole",House,0.336,200,NY,11,22133,M000317,Republican
"TORRES, Ritchie",House,-0.309,100,NY,15,22154,T000486,Democrat
"RYAN, Patrick",House,-0.235,100,NY,18,22169,R000579,Democrat
"GOLDMAN, Daniel",House,-0.43,100,NY,10,22324,G000599,Democrat
"LALOTA, Nicholas",House,0.253,200,NY,1,22337,L000598,Republican
"LANGWORTHY, Nick",House,0.419,200,NY,23,22339,L000600,Republican
"LAWLER, Michael",House,0.193,200,NY,17,22340,L000599,Republican
"KENNEDY, Timothy M.",House,-0.362,100,NY,26,22377,K000402,Democrat
"GILLEN, Laura",House,-0.151,100,NY,4,22518,G000602,Democrat
"LATIMER, George",House,-0.419,100,NY,16,22531,L000606,Democrat
"MANNION, John W.",House,-0.188,100,NY,22,22534,M001231,Democrat
"RILEY, Josh",House,-0.2,100,NY,19,22549,R000622,Democrat
"NADLER, Jerrold Lewis",House,-0.507,100,NY,12,29377,N000002,Democrat
"VELÁZQUEZ, Nydia M.",House,-0.547,100,NY,7,29378,V000081,Democrat
"MEEKS, Gregory W.",House,-0.416,100,NY,5,29776,M001137,Democrat
"FOXX, Virginia Ann",House,0.624,200,NC,5,20521,F000450,Republican
"HUDSON, Richard",House,0.523,200,NC,9,21346,H001067,Republican
"ROUZER, David",House,0.566,200,NC,7,21544,R000603,Republican
"ADAMS, Alma",House,-0.462,100,NC,12,21545,A000370,Democrat
"MURPHY, Gregory Francis",House,0.488,200,NC,3,21987,M001210,Republican
"ROSS, Deborah K.",House,-0.378,100,NC,2,22149,R000305,Democrat
"DAVIS, Don",House,-0.251,100,NC,1,22314,D000230,Democrat
"EDWARDS, Chuck",House,0.379,200,NC,11,22318,E000246,Republican
"FOUSHEE, Valerie",House,-0.503,100,NC,4,22320,F000477,Democrat
"HARRIGAN, Pat",House,0.981,200,NC,10,22524,H001101,Republican
"HARRIS, Mark",House,0.867,200,NC,8,22525,H001102,Republican
"KNOTT, Brad",House,0.867,200,NC,13,22530,K000405,Republican
"MCDOWELL, Addison P.",House,0.475,200,NC,6,22538,M001240,Republican
"MOORE, Tim",House,0.572,200,NC,14,22542,M001236,Republican
"FEDORCHAK, Julie",House,0.613,200,ND,1,22514,F000482,Republican
"KING-HINDS, Kimberlyn",House,0.164,200,MP,0,22561,K000404,Republican
"KAPTUR, Marcia Carolyn (Marcy)",House,-0.343,100,OH,9,15029,K000009,Democrat
"TURNER, Michael R.",House,0.265,200,OH,10,20342,T000463,Republican
"JORDAN, Jim",House,0.712,200,OH,4,20738,J000289,Republican
"LATTA, Robert E.",House,0.509,200,OH,5,20755,L000566,Republican
"BEATTY, Joyce",House,-0.437,100,OH,3,21352,B001281,Democrat
"JOYCE, David",House,0.251,200,OH,14,21353,J000295,Republican
"DAVIDSON, Warren",House,0.654,200,OH,8,21564,D000626,Republican
"BALDERSON, Troy",House,0.461,200,OH,12,21759,B001306,Republican
"BROWN, Shontel  M.",House,-0.459,100,OH,11,22161,B001313,Democrat
"CAREY, Mike",House,0.406,200,OH,15,22162,C001126,Republican
"LANDSMAN, Greg",House,-0.225,100,OH,1,22338,L000601,Democrat
"MILLER, Max",House,0.39,200,OH,7,22349,M001222,Republican
"SYKES, Emilia",House,-0.32,100,OH,13,22367,S001223,Democrat
"RULLI, Michael A.",House,0.406,200,OH,6,22379,R000619,Republican
"TAYLOR, David J.",House,0.69,200,OH,2,22555,T000490,Republican
"COLE, Tom",House,0.323,200,OK,4,20344,C001053,Republican
"HERN, Kevin",House,0.68,200,OK,1,21760,H001082,Republican
"BICE, Stephanie I.",House,0.412,200,OK,5,22102,B000740,Republican
"BRECHEEN, Josh",House,0.858,200,OK,2,22303,B001317,Republican
"LUCAS, Frank D.",House,0.361,200,OK,3,29393,L000491,Republican
"BONAMICI, Suzanne",House,-0.399,100,OR,1,21198,B001278,Democrat
"BENTZ, Cliff",House,0.474,200,OR,2,22101,B000668,Republican
"HOYLE, Val",House,-0.228,100,OR,4,22327,H001094,Democrat
"SALINAS, Andrea",House,-0.22,100,OR,6,22361,S001226,Democrat
"BYNUM, Janelle S.",House,-0.28,100,OR,5,22507,B001326,Democrat
"DEXTER, Maxine",House,-0.495,100,OR,3,22510,D000635,Democrat
"THOMPSON, Glenn",House,0.335,200,PA,15,20946,T000467,Republican
"KELLY, Mike",House,0.378,200,PA,16,21167,K000376,Republican
"PERRY, Scott",House,0.684,200,PA,10,21356,P000605,Republican
"BOYLE, Brendan Francis",House,-0.381,100,PA,2,21548,B001296,Democrat
"EVANS, Dwight",House,-0.469,100,PA,3,21566,E000296,Democrat
"FITZPATRICK, Brian K.",House,0.14,200,PA,1,21718,F000466,Republican
"SMUCKER, Lloyd K.",House,0.454,200,PA,11,21745,S001199,Republican
"SCANLON, Mary Gay",House,-0.451,100,PA,5,21762,S001205,Democrat
"DEAN, Madeleine",House,-0.445,100,PA,4,21915,D000631,Democrat
"HOULAHAN, Christina",House,-0.261,100,PA,6,21934,H001085,Democrat
"JOYCE, John",House,0.579,200,PA,13,21936,J000302,Republican
"MEUSER, Dan",House,0.492,200,PA,9,21945,M001204,Republican
"RESCHENTHALER, Guy",House,0.446,200,PA,14,21956,R000610,Republican
"DELUZIO, Chris",House,-0.25,100,PA,17,22316,D000530,Democrat
"LEE, Summer",House,-0.414,100,PA,12,22342,L000602,Democrat
"BRESNAHAN, Robert P., Jr.",House,0.266,200,PA,8,22506,B001327,Republican
"MACKENZIE, Ryan",House,0.289,200,PA,7,22533,M001230,Republican
"HERNÁNDEZ, Pablo José",House,-0.463,100,PR,0,22560,H001103,Democrat
"MAGAZINER, Seth",House,-0.332,100,RI,2,22345,M001223,Democrat
"AMO, Gabe",House,-0.456,100,RI,1,22375,A000380,Democrat
"WILSON, Addison Graves (Joe)",House,0.53,200,SC,2,20138,W000795,Republican
"NORMAN, Ralph",House,0.85,200,SC,5,21753,N000190,Republican
"TIMMONS, William",House,0.599,200,SC,4,21974,T000480,Republican
"MACE, Nancy",House,0.343,200,SC,1,22132,M000194,Republican
"FRY, Russell",House,0.538,200,SC,7,22322,F000478,Republican
"BIGGS, Sheri",House,0.788,200,SC,3,22505,B001325,Republican
"CLYBURN, James Enos",House,-0.467,100,SC,6,39301,C000537,Democrat
"JOHNSON, Dustin",House,0.467,200,SD,1,21935,J000301,Republican
"COHEN, Stephen",House,-0.39,100,TN,9,20748,C001068,Democrat
"FLEISCHMANN, Chuck",House,0.431,200,TN,3,21178,F000459,Republican
"DESJARLAIS, Scott",House,0.578,200,TN,4,21179,D000616,Republican
"KUSTOFF, David",House,0.541,200,TN,8,21731,K000392,Republican
"BURCHETT, Timothy",House,0.665,200,TN,2,21905,B001309,Republican
"GREEN, Mark",House,0.671,200,TN,7,21926,G000590,Republican
"ROSE, John",House,0.665,200,TN,6,21959,R000612,Republican
"HARSHBARGER, Diana",House,0.675,200,TN,1,22122,H001086,Republican
"OGLES, Andy",House,0.787,200,TN,5,22357,O000175,Republican
"CARTER, John R.",House,0.487,200,TX,31,20356,C001051,Republican
"GREEN, Al",House,-0.447,100,TX,9,20529,G000553,Democrat
